country,code,year,"Fertility rate, total (births per woman)","GDP per capita, PPP (constant 2021 international $)","Life expectancy at birth, total (years)","Mortality rate, infant (per 1,000 live births)",Population density (people per sq. km of land area),Population growth (annual %),"Population, total",Poverty headcount ratio at national poverty lines (% of population),Rural population (% of total population),Urban population (% of total population)
Singapore,SGP,2023,0.97,127543.55475211,82.8951219512195,1.7,,4.85831607781442,5917648.0,,0.0,100.0
Sri Lanka,LKA,1960,5.352,,60.602,57.2,,,9661389.0,,83.569,16.431
Sri Lanka,LKA,1961,5.24,,61.158,55.3,157.859543932387,2.43338940773861,9899372.0,,83.408,16.592
Sri Lanka,LKA,1962,5.177,,61.627,54.3,161.756561951842,2.43868258271047,10143754.0,,83.247,16.753
Sri Lanka,LKA,1963,5.118,,62.031,54.0,165.763674055175,2.44706226942492,10395040.0,,83.084,16.916
Sri Lanka,LKA,1964,5.057,,62.376,53.6,169.88354329453,2.45500391259614,10653397.0,,82.986,17.014
Sri Lanka,LKA,1965,4.934,,62.793,52.9,174.086509328656,2.44391928516342,10916965.0,,82.89,17.11
Sri Lanka,LKA,1966,4.828,,63.156,51.8,178.343613458778,2.41597464184751,11183928.0,,82.793,17.207
Sri Lanka,LKA,1967,4.787,,63.556,50.7,182.703364694626,2.41517775850964,11457328.0,,82.696,17.304
Sri Lanka,LKA,1968,4.658,,63.869,49.6,187.148588741827,2.40390138208222,11736088.0,,82.598,17.402
Sri Lanka,LKA,1969,4.499,,64.138,48.8,191.5780258332,2.33922777058424,12013858.0,,82.5,17.5
Sri Lanka,LKA,1970,4.387,,64.352,48.4,195.935416998884,2.24899285825847,12287110.0,,82.402,17.598
Sri Lanka,LKA,1971,4.266,,64.24,48.1,200.158029022484,2.13220998361039,12551910.0,,82.303,17.697
Sri Lanka,LKA,1972,4.156,,64.625,47.9,204.26096316377,2.02912078599148,12809205.0,,82.204,17.796
Sri Lanka,LKA,1973,4.001,,64.785,47.5,208.274852495615,1.94602061213073,13060916.0,,82.104,17.896
Sri Lanka,LKA,1974,3.855,,64.966,46.7,212.178169350981,1.8567729541151,13305693.0,,82.004,17.996
Sri Lanka,LKA,1975,3.816,,65.355,45.3,216.057789826184,1.81195742093226,13548984.0,,81.903,18.097
Sri Lanka,LKA,1976,3.783,,65.84,43.4,220.009089459416,1.81229438316652,13796770.0,,81.802,18.198
Sri Lanka,LKA,1977,3.741,,66.391,41.1,224.037171105087,1.81431192980305,14049371.0,,81.701,18.299
Sri Lanka,LKA,1978,3.81,,66.844,38.4,228.195311752512,1.83899122278722,14310128.0,,81.599,18.401
Sri Lanka,LKA,1979,3.822,,67.514,35.7,232.492648700367,1.86567132850764,14579614.0,,81.496,18.504
Sri Lanka,LKA,1980,3.725,,68.006,33.2,236.77202997927,1.82391733574432,14847974.0,,81.393,18.607
Sri Lanka,LKA,1981,3.649,,68.38,30.8,240.781597831287,1.67925101560856,15099414.0,,81.324,18.676
Sri Lanka,LKA,1982,3.32,,68.665,28.7,243.766018178919,1.2318533776583,15286567.0,,81.34,18.66
Sri Lanka,LKA,1983,3.114,,68.726,26.6,245.396172859193,0.666511330978769,15388794.0,,81.356,18.644
Sri Lanka,LKA,1984,3.006,,68.761,24.3,246.242385584436,0.344242145520742,15441860.0,,81.371,18.629
Sri Lanka,LKA,1985,2.895,,68.881,22.1,247.873608674853,0.660261572342523,15544154.0,,81.387,18.613
Sri Lanka,LKA,1986,2.743,,68.962,20.2,250.857215755063,1.19649419220381,15731256.0,,81.403,18.597
Sri Lanka,LKA,1987,2.644,,69.009,18.9,253.812406314782,1.17115205994745,15916576.0,,81.418,18.582
Sri Lanka,LKA,1988,2.565,,68.995,18.1,256.396443948334,1.01294194595377,16078621.0,,81.434,18.566
Sri Lanka,LKA,1989,2.578,,67.284,19.3,259.106314782331,1.05136034659287,16248557.0,,81.449,18.551
Sri Lanka,LKA,1990,2.541,4561.57913261438,69.239,17.9,260.763163769734,0.637411760252378,16352458.0,,81.465,18.535
Sri Lanka,LKA,1991,2.514,4735.81940023678,69.131,18.0,262.722915005581,0.748734482407864,16475354.0,,81.48,18.52
Sri Lanka,LKA,1992,2.487,4866.23941153137,69.619,17.9,266.931653643757,1.58927250831319,16739284.0,,81.496,18.504
Sri Lanka,LKA,1993,2.438,5114.43630396951,70.049,17.5,271.502439802264,1.69784789442256,17025918.0,,81.511,18.489
Sri Lanka,LKA,1994,2.405,5322.72963127148,70.211,16.9,275.486732578536,1.45683441097245,17275773.0,,81.527,18.473
Sri Lanka,LKA,1995,2.353,5523.31225393965,69.746,16.3,280.084005740711,1.65501088509534,17564068.0,,81.542,18.458
Sri Lanka,LKA,1996,2.285,5624.02393650599,69.841,15.6,285.520937649498,1.92257845082404,17905018.0,,81.558,18.442
Sri Lanka,LKA,1997,2.215,5871.72297557268,69.934,14.8,290.993461967788,1.89854362715713,18248200.0,,81.573,18.427
Sri Lanka,LKA,1998,2.136,6032.62212630498,70.134,14.1,296.539674693031,1.88802201260991,18596003.0,,81.589,18.411
Sri Lanka,LKA,1999,2.142,6176.23548455949,70.427,13.5,302.100637856801,1.85791802193191,18944731.0,,81.604,18.396
Sri Lanka,LKA,2000,2.213,6428.61341890463,71.179,13.0,307.655142720459,1.82192893868799,19293054.0,,81.62,18.38
Sri Lanka,LKA,2001,2.283,6230.03051864853,71.804,12.7,312.55560516664,1.58029006941291,19600362.0,,81.635,18.365
Sri Lanka,LKA,2002,2.31,6409.86278893446,72.271,12.4,315.830840376336,1.04243651089033,19805752.0,46.8,81.651,18.349
Sri Lanka,LKA,2003,2.301,6741.01248849424,72.442,12.1,318.1553340775,0.733298046863635,19951521.0,,81.666,18.334
Sri Lanka,LKA,2004,2.271,7059.91098068568,68.022,16.7,320.325386700686,0.679757715006083,20087605.0,,81.681,18.319
Sri Lanka,LKA,2005,2.263,7452.74234124518,73.073,11.2,322.381183224366,0.639733163202014,20216524.0,,81.697,18.303
Sri Lanka,LKA,2006,2.292,7970.66491021045,72.825,10.7,324.548094402807,0.669909171598541,20352411.0,34.1,81.712,18.288
Sri Lanka,LKA,2007,2.295,8454.2067533326,72.983,10.2,326.782730027109,0.686177993870037,20492545.0,,81.728,18.272
Sri Lanka,LKA,2008,2.232,8897.82686006864,72.556,9.7,328.964726518896,0.665501489405385,20629378.0,,81.743,18.257
Sri Lanka,LKA,2009,2.179,9156.31906483165,70.298,13.0,330.990830808484,0.614014271918797,20756435.0,28.4,81.758,18.242
Sri Lanka,LKA,2010,2.134,9832.18622337307,74.463,9.1,332.946723010684,0.589181271319281,20879089.0,,81.774,18.226
Sri Lanka,LKA,2011,2.144,10618.4925999943,74.74,8.9,335.019103811194,0.620507027958285,21009048.0,,81.789,18.211
Sri Lanka,LKA,2012,2.173,11447.6937741445,75.187,8.5,337.577069047999,0.760628047767682,21169458.0,22.5,81.804,18.196
Sri Lanka,LKA,2013,2.178,12249.7223350448,75.546,8.1,328.257056290863,-2.79968273298027,20585000.0,,81.802,18.198
Sri Lanka,LKA,2014,2.134,12909.9663066055,75.757,7.7,331.334715356403,0.933207942647201,20778000.0,,81.782,18.218
Sri Lanka,LKA,2015,2.09,13329.7793437945,75.99,7.4,338.810527846445,0.91981102654886,20970000.0,,81.744,18.256
Sri Lanka,LKA,2016,2.062,13845.6146784784,76.136,7.0,342.672030762768,1.13327749793807,21209000.0,16.0,81.689,18.311
Sri Lanka,LKA,2017,2.044,14578.6018622132,76.239,6.7,346.46890601522,1.1019266072082,21444000.0,,81.616,18.384
Sri Lanka,LKA,2018,2.033,14759.8248943303,76.485,6.5,350.284495021337,1.04839295829763,21670000.0,,81.524,18.476
Sri Lanka,LKA,2019,2.022,14637.4442911872,76.698,6.2,352.431694638296,0.611875945764341,21803000.0,14.3,81.415,18.585
Sri Lanka,LKA,2020,2.007,13886.6513728651,76.928,6.0,354.332363401229,0.530626559530355,21919000.0,,81.287,18.713
Sri Lanka,LKA,2021,1.995,14316.1352225683,76.278,5.8,358.163595215002,1.07544995696428,22156000.0,,81.14,18.86
Sri Lanka,LKA,2022,1.984,13249.4085187153,77.3,5.5,358.567733591982,0.112772639779474,22181000.0,,80.974,19.026
Sri Lanka,LKA,2023,1.974,13029.523937847,77.483,5.3,,-0.651320770103285,22037000.0,,80.789,19.211
Thailand,THA,1960,6.325,,50.608,112.8,,,26851747.0,,80.328,19.672
Thailand,THA,1961,6.324,,51.065,109.2,54.1218931668265,2.93069234462544,27650334.0,,80.219,19.781
Thailand,THA,1962,6.331,,51.444,105.7,55.7478909354264,2.96007952695934,28481040.0,,80.11,19.89
Thailand,THA,1963,6.342,,51.988,102.3,57.4337372037033,2.97923079566546,29342322.0,,80.0,20.0
Thailand,THA,1964,6.309,,52.539,98.9,59.1754408972577,2.98747192809308,30232141.0,,79.89,20.11
Thailand,THA,1965,6.258,,53.131,95.6,60.9707314686136,2.98873309292341,31149337.0,,79.779,20.221
Thailand,THA,1966,6.182,,53.729,92.3,62.8042651059915,2.96290498317245,32086071.0,,79.668,20.332
Thailand,THA,1967,6.077,,54.316,89.0,64.6671514416019,2.9230380018249,33037801.0,,79.556,20.444
Thailand,THA,1968,5.928,,54.977,85.5,66.5555403315782,2.87834251515722,34002560.0,,79.444,20.556
Thailand,THA,1969,5.704,,55.705,82.1,68.456579694259,2.81628791708856,34973782.0,,79.332,20.668
Thailand,THA,1970,5.452,,56.47,78.5,70.3760261504433,2.76529963229465,35954408.0,,79.111,20.889
Thailand,THA,1971,5.253,,57.1,75.0,72.3000782947405,2.69725445467986,36937387.0,,78.558,21.442
Thailand,THA,1972,5.077,,57.746,71.6,74.25067822819,2.66216999485487,37933929.0,,77.994,22.006
Thailand,THA,1973,4.845,,58.323,68.2,76.2351719548239,2.63760183827926,38947787.0,,77.421,22.579
Thailand,THA,1974,4.598,,59.031,65.1,78.2025308774883,2.54790807795309,39952891.0,,76.836,23.164
Thailand,THA,1975,4.364,,59.713,62.1,80.13467674059,2.44066673122309,40940005.0,,76.242,23.758
Thailand,THA,1976,4.119,,60.371,59.2,82.0068977666425,2.30946843297936,41896504.0,,75.635,24.365
Thailand,THA,1977,3.865,,60.906,56.6,83.8614457123843,2.23626183565551,42843974.0,,75.02,24.98
Thailand,THA,1978,3.617,,61.266,54.2,85.711162872634,2.18170911561353,43788976.0,,74.394,25.606
Thailand,THA,1979,3.451,,61.696,51.9,87.5304546967057,2.10037141390493,44718434.0,,73.758,26.242
Thailand,THA,1980,3.293,,62.186,49.6,89.3539157157118,2.06182786239566,45650022.0,,73.209,26.791
Thailand,THA,1981,3.127,,62.856,47.6,91.1661120789211,2.0078184838506,46575855.0,,72.951,27.049
Thailand,THA,1982,2.943,,63.603,45.6,92.964389594629,1.95332622947543,47494577.0,,72.692,27.308
Thailand,THA,1983,2.755,,64.5,43.6,94.7822603691597,1.93657526021608,48423309.0,,72.431,27.569
Thailand,THA,1984,2.582,,65.55,41.8,96.5994793399753,1.89910865056655,49351708.0,,72.168,27.832
Thailand,THA,1985,2.45,,66.543,40.0,98.3983890857132,1.84510814954302,50270753.0,,71.905,28.095
Thailand,THA,1986,2.358,,67.308,38.2,100.173880874552,1.78830519117593,51177834.0,,71.639,28.361
Thailand,THA,1987,2.255,,67.833,36.4,101.928213509757,1.73612916326133,52074105.0,,71.372,28.628
Thailand,THA,1988,2.171,,68.194,34.6,103.681017440153,1.70502694404775,52969595.0,,71.103,28.897
Thailand,THA,1989,2.136,,68.557,32.8,105.402250973791,1.64649465378947,53848956.0,,70.833,29.167
Thailand,THA,1990,2.065,8701.64487129587,68.924,31.1,107.143081680988,1.63811607952745,54738329.0,,70.576,29.424
Thailand,THA,1991,2.036,9293.70051582154,69.132,29.4,108.902961498561,1.62920710678797,55637434.0,,70.407,29.593
Thailand,THA,1992,2.008,9886.54819629295,69.353,27.9,110.647759791736,1.58945961673195,56528834.0,,70.237,29.763
Thailand,THA,1993,1.967,10538.4415714221,69.568,26.4,112.368999197479,1.54362711687309,57408198.0,,70.066,29.934
Thailand,THA,1994,1.928,11214.6377912304,69.661,25.1,114.037961204956,1.47432944245539,58260854.0,,69.895,30.105
Thailand,THA,1995,1.888,11953.495235878,69.757,23.8,115.67701853628,1.42705987153545,59098232.0,,69.724,30.276
Thailand,THA,1996,1.865,12455.886070343,69.94,22.6,117.285646616689,1.38103987322343,59920064.0,,69.551,30.449
Thailand,THA,1997,1.845,11952.424014948,70.362,21.5,118.860388733387,1.33372170098054,60724584.0,,69.378,30.622
Thailand,THA,1998,1.815,10896.7658205769,70.703,20.5,120.422458846327,1.30564502997303,61522630.0,,69.205,30.795
Thailand,THA,1999,1.768,11252.9872633941,70.979,19.5,121.942185206209,1.25409899110086,62299043.0,,69.031,30.969
Thailand,THA,2000,1.734,11622.1116671016,71.205,18.5,123.329513202451,1.13127017975852,63007815.0,42.3,68.614,31.386
Thailand,THA,2001,1.711,11900.8949342988,71.52,17.7,124.58873925894,1.01584846841136,63651141.0,,67.452,32.548
Thailand,THA,2002,1.688,12511.7381306212,71.775,16.9,125.793100275989,0.962026884907362,64266437.0,32.4,66.266,33.734
Thailand,THA,2003,1.673,13286.8323292884,72.101,16.1,126.970905674411,0.931947504633534,64868166.0,,65.059,34.941
Thailand,THA,2004,1.665,13996.5035765712,72.1,15.4,128.1137759596,0.896077275303913,65452047.0,26.8,63.831,36.169
Thailand,THA,2005,1.644,14457.740966196,72.894,14.8,129.220419268336,0.860087894461849,66017420.0,,62.589,37.411
Thailand,THA,2006,1.631,15050.5253765829,73.341,14.2,130.297494568302,0.83006330336846,66567687.0,21.9,61.327,38.673
Thailand,THA,2007,1.616,15742.0953939905,73.779,13.6,131.344113214195,0.800044180541195,67102394.0,20.0,60.05,39.95
Thailand,THA,2008,1.587,15891.2171420249,74.221,13.1,132.356926148486,0.768156179389423,67619830.0,20.4,58.758,41.242
Thailand,THA,2009,1.565,15665.3459498857,74.669,12.6,133.338057116013,0.73854268159594,68121080.0,17.9,57.457,42.543
Thailand,THA,2010,1.562,16729.774764715,75.012,12.2,134.235250249564,0.670617338343587,68579447.0,16.4,56.144,43.856
Thailand,THA,2011,1.571,16765.7514024823,75.302,11.7,135.072536162383,0.621807948253872,69007208.0,13.2,55.302,44.698
Thailand,THA,2012,1.563,17869.0021183963,75.59,11.3,135.912031944254,0.619591346751357,69436098.0,12.6,54.555,45.445
Thailand,THA,2013,1.526,18241.7768708,75.96,11.0,136.712626984282,0.587325698680648,69845114.0,10.9,53.807,46.193
Thailand,THA,2014,1.484,18323.9627436667,76.279,10.6,137.439305917125,0.530129864137193,70216367.0,10.5,53.057,46.943
Thailand,THA,2015,1.451,18811.3284521707,76.563,10.3,138.07433106931,0.460976294059414,70540795.0,7.2,52.306,47.694
Thailand,THA,2016,1.4,19369.9198558946,76.769,10.0,138.698821664155,0.451266062797186,70859841.0,8.6,51.552,48.448
Thailand,THA,2017,1.363,20093.963199274,76.989,9.6,139.286709467791,0.422963510133952,71160187.0,7.9,50.8,49.2
Thailand,THA,2018,1.323,20879.1601782531,77.19,9.4,139.709289670966,0.302929452489855,71376079.0,9.9,50.051,49.949
Thailand,THA,2019,1.285,21277.08251178,77.197,9.1,139.995441288731,0.204609851692418,71522271.0,6.2,49.308,50.692
Thailand,THA,2020,1.259,19956.5473513659,77.331,8.8,140.228785061364,0.166540794566251,71641484.0,6.8,48.57,51.43
Thailand,THA,2021,1.234,20245.2424111271,77.606,8.5,140.396821233534,0.119758274714782,71727332.0,6.3,47.837,52.163
Thailand,THA,2022,1.221,20741.5235270511,75.291,8.3,140.412474309538,0.0111485454856964,71735329.0,,47.111,52.889
Thailand,THA,2023,1.212,21142.6643331162,76.412,8.0,,-0.0458651887192549,71702435.0,,46.392,53.608
Viet Nam,VNM,1960,6.273,,58.046,,,,32531933.0,,85.3,14.7
Viet Nam,VNM,1961,5.476,,58.461,,102.642351531537,2.66049299602515,33409059.0,,84.969,15.031
Viet Nam,VNM,1962,6.257,,58.204,,105.34443454484,2.59846800903446,34288560.0,,84.631,15.369
Viet Nam,VNM,1963,6.385,,56.897,,108.295496021383,2.76282545445889,35249101.0,,84.286,15.714
Viet Nam,VNM,1964,6.285,,57.473,55.2,111.221736458877,2.6662269308257,36201563.0,,83.936,16.064
Viet Nam,VNM,1965,6.156,,56.967,60.1,114.073108236812,2.53137087053675,37129656.0,,83.579,16.421
Viet Nam,VNM,1966,5.968,,56.914,60.4,116.82336170082,2.38235217834686,38024836.0,,83.216,16.784
Viet Nam,VNM,1967,5.883,,56.745,60.8,119.497004516268,2.26282392922143,38895080.0,,82.847,17.153
Viet Nam,VNM,1968,6.029,,52.668,67.0,122.076281913423,2.13548066761958,39734609.0,,82.471,17.529
Viet Nam,VNM,1969,6.013,,54.791,63.8,124.680008602415,2.11044129709734,40582096.0,,82.089,17.911
Viet Nam,VNM,1970,6.019,,54.93,63.7,127.423976159022,2.17693974470409,41475230.0,,81.7,18.3
Viet Nam,VNM,1971,6.069,,55.585,62.8,130.41652892562,2.3213475682191,42449276.0,,81.604,18.396
Viet Nam,VNM,1972,6.1,,51.913,68.5,133.427042305447,2.28214318459982,43429168.0,,81.508,18.492
Viet Nam,VNM,1973,6.108,,55.677,62.6,136.440016590371,2.23302502747562,44409861.0,,81.412,18.588
Viet Nam,VNM,1974,5.781,,54.751,63.8,139.523601339519,2.23486930356709,45413537.0,,81.315,18.685
Viet Nam,VNM,1975,5.621,,61.865,52.1,142.809004884943,2.32743351549493,46482903.0,,81.218,18.782
Viet Nam,VNM,1976,5.461,,63.669,51.3,146.501984699991,2.55308684698776,47684931.0,,81.12,18.88
Viet Nam,VNM,1977,5.291,,64.07,50.5,150.403613014225,2.62834581225948,48954872.0,,81.022,18.978
Viet Nam,VNM,1978,5.104,,64.529,49.6,154.381246735691,2.61027373200441,50249552.0,,80.924,19.076
Viet Nam,VNM,1979,4.94,,64.986,48.7,157.848815631817,2.22125406032671,51378211.0,,80.825,19.175
Viet Nam,VNM,1980,4.795,,65.338,47.9,161.264865280039,2.14104273585666,52490101.0,,80.753,19.247
Viet Nam,VNM,1981,4.665,,65.779,47.0,165.09920734892,2.34984106682984,53738141.0,,80.691,19.309
Viet Nam,VNM,1982,4.593,,66.212,46.2,169.010688500415,2.3415408609404,55011289.0,,80.628,19.372
Viet Nam,VNM,1983,4.524,,66.545,45.5,173.086488064149,2.38294420928097,56337921.0,,80.565,19.435
Viet Nam,VNM,1984,4.412,,66.929,44.7,177.289830716765,2.3994454491251,57706067.0,,80.502,19.498
Viet Nam,VNM,1985,4.206,,67.192,43.9,181.4514178623,2.32020926228808,59060622.0,,80.439,19.561
Viet Nam,VNM,1986,3.955,,67.55,42.9,185.403692893791,2.15476237596871,60347048.0,,80.375,19.625
Viet Nam,VNM,1987,3.717,,68.005,41.7,189.205969461427,2.030063573031,61584651.0,,80.312,19.688
Viet Nam,VNM,1988,3.623,,68.585,40.4,193.072684260653,2.02305132101298,62843228.0,,80.248,19.752
Viet Nam,VNM,1989,3.641,,68.805,38.8,197.079320409229,2.0539568975987,64147348.0,,80.109,19.891
Viet Nam,VNM,1990,3.602,2467.96460080463,69.027,37.2,201.249046053642,2.09368868105156,65504552.0,,79.743,20.257
Viet Nam,VNM,1991,3.524,2560.84383496164,69.303,35.5,205.510998801806,2.09563784726273,66891775.0,,79.371,20.629
Viet Nam,VNM,1992,3.353,2726.47373748487,69.62,33.7,209.715619527482,2.02528655896492,68260337.0,,78.994,21.006
Viet Nam,VNM,1993,3.172,2890.42431737761,69.957,31.9,213.789621800977,1.92400355460531,69586384.0,,78.613,21.387
Viet Nam,VNM,1994,2.941,3089.60933725631,70.379,30.1,217.685308304403,1.80580242039077,70854391.0,,78.226,21.774
Viet Nam,VNM,1995,2.7,3328.21486039558,70.871,28.4,221.358382746014,1.67325494682511,72049940.0,,77.834,22.166
Viet Nam,VNM,1996,2.468,3584.02898335147,71.296,26.8,224.757894251744,1.52407678637018,73156447.0,,77.437,22.563
Viet Nam,VNM,1997,2.274,3820.30249485434,71.67,25.3,228.046603582291,1.45262124184775,74226889.0,,77.035,22.965
Viet Nam,VNM,1998,2.098,3982.95805965603,72.283,23.9,231.342468278595,1.43491495510774,75299660.0,,76.629,23.371
Viet Nam,VNM,1999,1.999,4119.05367208231,72.575,22.7,234.377252757381,1.30328491482511,76287452.0,,76.183,23.817
Viet Nam,VNM,2000,2.028,4349.22348751462,72.746,21.7,248.035784093101,1.12950984166849,77154011.0,,75.626,24.374
Viet Nam,VNM,2001,2.023,4570.26846577385,72.984,20.7,250.632810440708,1.05123747397877,77969361.0,,75.063,24.937
Viet Nam,VNM,2002,2.006,4809.62151118535,73.138,19.9,253.6539172436,1.02445055878013,78772224.0,,74.489,25.511
Viet Nam,VNM,2003,1.999,5090.28990869885,73.236,19.2,256.599403360531,0.999847904782733,79563777.0,,73.908,26.092
Viet Nam,VNM,2004,1.968,5421.09702829121,73.062,18.6,259.099464637017,0.969589431962946,80338971.0,,73.317,26.683
Viet Nam,VNM,2005,1.887,5776.36304451268,73.198,18.1,259.203077001761,0.928402391177897,81088313.0,,72.719,27.281
Viet Nam,VNM,2006,1.873,6098.24495436514,73.293,17.7,262.689291708627,1.32258336381927,82167897.0,,72.112,27.888
Viet Nam,VNM,2007,1.911,6418.54381402878,73.385,17.3,267.577137683246,1.76779845772365,83633375.0,,71.496,28.504
Viet Nam,VNM,2008,1.933,6659.13561432065,73.455,17.0,272.308076932914,1.82745521345807,85175788.0,,70.872,29.128
Viet Nam,VNM,2009,1.92,6914.33863589545,73.525,16.8,276.440290060813,1.49648723830416,86460018.0,,70.238,29.762
Viet Nam,VNM,2010,1.906,7274.73310698016,73.611,16.5,279.147229120251,1.14440259659988,87455152.0,,69.583,30.417
Viet Nam,VNM,2011,1.927,7652.61895672271,73.713,16.3,282.390144405715,1.15183406119192,88468314.0,,68.92,31.08
Viet Nam,VNM,2012,1.967,7979.86828926858,73.762,16.2,285.558644407367,1.1709874078049,89510356.0,,68.248,31.752
Viet Nam,VNM,2013,1.98,8324.19871250047,73.821,16.0,289.364162813695,1.1802975549343,90573104.0,,67.571,32.429
Viet Nam,VNM,2014,2.09,8751.88280634375,73.886,15.8,292.559228518274,1.21423463554626,91679578.0,,66.885,33.115
Viet Nam,VNM,2015,2.1,9248.02396069622,73.955,15.6,296.1974772084,1.23975403093124,92823254.0,,66.191,33.809
Viet Nam,VNM,2016,2.0,9743.1882231455,73.984,15.4,299.948999160782,1.25988366517733,94000117.0,9.2,65.49,34.51
Viet Nam,VNM,2017,1.985,10290.5487142244,74.026,15.2,303.688787280275,1.24420473643635,95176977.0,7.9,64.787,35.213
Viet Nam,VNM,2018,1.88,10936.8937859558,74.1,15.0,307.046632570694,1.10791395242199,96237319.0,6.8,64.081,35.919
Viet Nam,VNM,2019,1.943,11628.6139147451,74.211,14.9,310.034412897339,0.968366698803348,97173776.0,5.7,63.372,36.628
Viet Nam,VNM,2020,1.957,11851.3965685649,75.383,14.7,312.923153250018,0.927434295850725,98079191.0,4.8,62.66,37.34
Viet Nam,VNM,2021,1.942,12048.9019935536,74.145,14.5,315.653937574379,0.868883560805873,98935098.0,,61.948,38.052
Viet Nam,VNM,2022,1.927,12930.2562185687,74.502,14.3,318.032648542413,0.750756665157789,99680655.0,4.3,61.234,38.766
Viet Nam,VNM,2023,1.913,13491.879417397,74.588,14.0,,0.671429250652247,100352192.0,,60.52,39.48
