indicator,country,countryiso3code,date,value,unit,obs_status,decimal,Region
"Population, total",Brunei Darussalam,BRN,2024,,,,0,ASEAN
"Population, total",Brunei Darussalam,BRN,2023,458949.0,,,0,ASEAN
"Population, total",Brunei Darussalam,BRN,2022,455370.0,,,0,ASEAN
"Population, total",Brunei Darussalam,BRN,2021,451721.0,,,0,ASEAN
"Population, total",Brunei Darussalam,BRN,2020,447404.0,,,0,ASEAN
"Population, total",Brunei Darussalam,BRN,2019,442680.0,,,0,ASEAN
"Population, total",Brunei Darussalam,BRN,2018,437810.0,,,0,ASEAN
"Population, total",Brunei Darussalam,BRN,2017,432772.0,,,0,ASEAN
"Population, total",Brunei Darussalam,BRN,2016,427564.0,,,0,ASEAN
"Population, total",Brunei Darussalam,BRN,2015,422212.0,,,0,ASEAN
"Population, total",Brunei Darussalam,BRN,2014,416750.0,,,0,ASEAN
"Population, total",Brunei Darussalam,BRN,2013,411202.0,,,0,ASEAN
"Population, total",Brunei Darussalam,BRN,2012,405557.0,,,0,ASEAN
"Population, total",Brunei Darussalam,BRN,2011,399389.0,,,0,ASEAN
"Population, total",Brunei Darussalam,BRN,2010,392332.0,,,0,ASEAN
"Population, total",Brunei Darussalam,BRN,2009,384952.0,,,0,ASEAN
"Population, total",Brunei Darussalam,BRN,2008,377793.0,,,0,ASEAN
"Population, total",Brunei Darussalam,BRN,2007,370873.0,,,0,ASEAN
"Population, total",Brunei Darussalam,BRN,2006,364663.0,,,0,ASEAN
"Population, total",Brunei Darussalam,BRN,2005,358916.0,,,0,ASEAN
"Population, total",Brunei Darussalam,BRN,2004,352911.0,,,0,ASEAN
"Population, total",Brunei Darussalam,BRN,2003,346637.0,,,0,ASEAN
"Population, total",Brunei Darussalam,BRN,2002,340099.0,,,0,ASEAN
"Population, total",Brunei Darussalam,BRN,2001,333345.0,,,0,ASEAN
"Population, total",Brunei Darussalam,BRN,2000,326424.0,,,0,ASEAN
"Population, total",Brunei Darussalam,BRN,1999,319411.0,,,0,ASEAN
"Population, total",Brunei Darussalam,BRN,1998,312385.0,,,0,ASEAN
"Population, total",Brunei Darussalam,BRN,1997,305341.0,,,0,ASEAN
"Population, total",Brunei Darussalam,BRN,1996,298276.0,,,0,ASEAN
"Population, total",Brunei Darussalam,BRN,1995,291195.0,,,0,ASEAN
"Population, total",Brunei Darussalam,BRN,1994,284091.0,,,0,ASEAN
"Population, total",Brunei Darussalam,BRN,1993,276971.0,,,0,ASEAN
"Population, total",Brunei Darussalam,BRN,1992,269839.0,,,0,ASEAN
"Population, total",Brunei Darussalam,BRN,1991,262596.0,,,0,ASEAN
"Population, total",Brunei Darussalam,BRN,1990,255292.0,,,0,ASEAN
"Population, total",Brunei Darussalam,BRN,1989,248064.0,,,0,ASEAN
