,counts,"Fertility rate, total (births per woman)","GDP per capita, PPP (constant 2021 international $)","Life expectancy at birth, total (years)","Mortality rate, infant (per 1,000 live births)",Population density (people per sq. km of land area),Population growth (annual %),"Population, total",Poverty headcount ratio at national poverty lines (% of population),Rural population (% of total population),Urban population (% of total population),FarmCredit,ICTPolicy,ProductionValue,ProcessingValue,Fertilizer,Account (% age 15+),Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)","Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)","Account ownership at a financial institution or with a mobile-money-service provider, older adults (% of population ages 25+)","Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)","Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)","Account ownership at a financial institution or with a mobile-money-service provider, richest 60% (% of population ages 15+)","Account ownership at a financial institution or with a mobile-money-service provider, secondary education or more (% of population ages 15+)","Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)","Account, female (% age 15+)","Account, male (% age 15+)","Account, rural (% age 15+)","Account, urban (% age 15+)",Current account balance (% of GDP),"Current account balance (BoP, current US$)",Financial institution account (% age 15+),"Financial institution account, female (% age 15+)","Financial institution account, male (% age 15+)","Financial institution account, rural (% age 15+)","Financial institution account, urban (% age 15+)","Made a deposit (% with a financial institution account, age 15+)",Made a digital in-store merchant payment (age 15+),Made a digital in-store merchant payment: using a mobile phone (% age 15+),"Made a digital in-store merchant payment: using a mobile phone, female (% age 15+)","Made a digital in-store merchant payment: using a mobile phone, male (% age 15+)","Made a digital in-store merchant payment: using a mobile phone, rural (% age 15+)","Made a digital in-store merchant payment: using a mobile phone, urban (% age 15+)",Made a digital merchant payment (% age 15+),"Made a digital merchant payment, female (% age 15+)","Made a digital merchant payment, male (% age 15+)","Made a digital merchant payment, rural (% age 15+)","Made a digital merchant payment, urban (% age 15+)",Made a digital online merchant payment for an online purchase (% age 15+),Made a digital payment (% age 15+),"Made a digital payment, female (% age 15+)","Made a digital payment, male (% age 15+)","Made a digital payment, rural (% age 15+)","Made a digital payment, urban (% age 15+)",Made a utility payment (% age 15+),"Made a utility payment, female (% age 15+)","Made a utility payment, male (% age 15+)","Made a utility payment, rural (% age 15+)","Made a utility payment, urban (% age 15+)",Made a utility payment: using a financial institution account (% age 15+),Made a utility payment: using a mobile phone (% age 15+),"Made a withdrawal (% with a financial institution account, age 15+)",Made or received a digital payment (% age 15+),"Made or received a digital payment, female (% age 15+)","Made or received a digital payment, male (% age 15+)","Made or received a digital payment, rural (% age 15+)","Made or received a digital payment, urban (% age 15+)",Mobile money account (% age 15+),"Mobile money account, female (% age 15+)","Mobile money account, male (% age 15+)","Mobile money account, rural (% age 15+)","Mobile money account, urban (% age 15+)",Own a mobile phone (% age 15+),Owns a debit or credit card (% age 15+),"Owns a debit or credit card, female (% age 15+)","Owns a debit or credit card, male (% age 15+)","Owns a debit or credit card, rural (% age 15+)","Owns a debit or credit card, urban (% age 15+)",Received digital payments (% age 15+),"Received digital payments, female (% age 15+)","Received digital payments, male (% age 15+)","Received digital payments, rural (% age 15+)","Received digital payments, urban (% age 15+)",Saved at a financial institution or using a mobile money account (% age 15+),"Saved at a financial institution or using a mobile money account, female (% age 15+)","Saved at a financial institution or using a mobile money account, male (% age 15+)","Saved at a financial institution or using a mobile money account, rural (% age 15+)","Saved at a financial institution or using a mobile money account, urban (% age 15+)",Saved money using a mobile money account (% age 15+),"Saved money using a mobile money account, female (% age 15+)","Saved money using a mobile money account, male (% age 15+)","Saved money using a mobile money account, rural (% age 15+)","Saved money using a mobile money account, urban (% age 15+)",Store money using a financial institution or a mobile money account (% age 15+),"Store money using a financial institution or a mobile money account (% with an account,  age 15+)",Store money using a mobile money account (% age 15+),"Store money using a mobile money account (% with a mobile money account acount, age 15+)","Use a mobile phone or the internet to make payments, buy things, or to send or receive money using a financial institution account (% age 15+)","Use a mobile phone or the internet to make payments, buy things, or to send or receive money using a financial institution account (% with a financial institution account, age 15+)",Used a mobile phone or the internet to access a financial institution account (% age 15+),"Used a mobile phone or the internet to access a financial institution account (% with a financial institution account, age 15+)","Used a mobile phone or the internet to access an account (% with an account, age 15+)",Used a mobile phone or the internet to access an account(% age 15+),"Used a mobile phone or the internet to access an account, female (% age 15+)","Used a mobile phone or the internet to access an account, male (% age 15+)","Used a mobile phone or the internet to access an account, rural (% age 15+)","Used a mobile phone or the internet to access an account, urban (% age 15+)",Used a mobile phone or the internet to buy something online (% age 15+),"Used a mobile phone or the internet to buy something online, female (% age 15+)","Used a mobile phone or the internet to buy something online, male (% age 15+)","Used a mobile phone or the internet to buy something online, rural (% age 15+)","Used a mobile phone or the internet to buy something online, urban (% age 15+)",Used a mobile phone or the internet to check account balance(% age 15+),"Used a mobile phone or the internet to check account balance(% with a financial institution account, age 15+)","Used a mobile phone or the internet to pay bills, female (% age 15+)","Used a mobile phone or the internet to pay bills, male (% age 15+)","Used a mobile phone or the internet to pay bills, rural (% age 15+)","Used a mobile phone or the internet to pay bills, urban (% age 15+)",Used a mobile phone or the internet to send money (% age 15+),"Used a mobile phone or the internet to send money, female (% age 15+)","Used a mobile phone or the internet to send money, male (% age 15+)","Used a mobile phone or the internet to send money, rural (% age 15+)","Used a mobile phone or the internet to send money, urban (% age 15+)",Food supply quantity (kg/capita/yr)_Cereals - Excluding Beer,Food supply quantity (kg/capita/yr)_Starchy Roots,foodSupply_stability,Rural Access to Electricity(Percent of Population),Mobile Cellular Subscriptions (per 100 people),Fixed Broadband Subsciptions (per 100 people),mobile_money_transactions
Used a mobile phone or the internet to access an account(% age 15+),302,-0.5596946502009218,0.8377822041817096,0.8240813203368078,-0.6356183565449521,0.7645033499256104,-0.09258994762099566,-0.23966231907988925,-0.45357603822034254,-0.8671877017160374,0.867187701716037,0.8697904410277858,0.38803669190373274,-0.9809948650864065,-0.5062475750477885,,0.6470345772785392,0.6470345772785392,0.6121405871146223,0.6653241114623477,0.6405975204249054,0.6379208768573504,0.5990538313707107,0.6434297662034543,0.5958929188700123,0.6421017344793595,0.6121405871146223,0.6653241114623477,0.5069305333933308,0.5599680605713817,0.7368313690362339,0.6511876462882443,0.6245976540825888,0.5982817949211728,0.6409664998066361,0.3684396154253608,0.47638089611202067,0.5982529230015577,0.785118874716852,0.6727542225479639,0.6595684239631281,0.6803763363686685,0.6630686146066026,0.7602219437705504,0.7953711832553947,0.7792898359982333,0.7956319817692734,0.7157997285953615,0.8198904262222476,0.848471968090253,0.8505608946379694,0.8274648462857962,0.849236506158431,0.9714843295940757,0.9346115450299105,0.09020851281960034,-0.027773740269902022,0.2576319562932466,-0.044488238440336794,0.17317109987549462,0.8681238064985426,0.5240277589349028,0.6165678385182428,0.8311729036471045,0.805587467838784,0.8351563636548335,0.9229506986587327,0.8943664520197134,0.32436816520143563,0.3165833756678054,0.31869500444812676,0.8033727862002779,0.9122399307370777,0.3737793639263271,0.7396050020600843,0.7463212116525791,0.7206562961637393,0.6639632038747528,0.6311924341173775,0.8152882661823612,0.7927714151627892,0.8258531981281199,0.8980317274320483,0.8875350438521243,0.7363675204113976,0.73145319078386,0.7368974733893155,0.6061253681564389,0.7485291739361957,0.185757157232909,0.27578959265848935,0.0741445042209228,0.8929911427072659,0.3015622869859618,0.7604261229935756,0.6112708637649293,0.13302682647273587,-0.4976306622529401,0.7336965833829218,0.5647767036677538,0.9396301868237917,0.9200259643576794,0.8109555318438629,1.0,0.9706580178142473,0.9760568524617634,,,0.7509326830682159,0.7464118487055974,0.7500969266547102,0.7034727105434181,0.7782264778438347,0.8092429702860037,0.6326809858938378,0.8341063375609712,0.829599179114654,0.8578423850704091,0.8504549782437765,0.678656308773608,0.6356245573013367,0.7119171644528794,0.8443401723821448,0.8984600139059344,-0.17295998064369397,-0.3163693928027764,0.02977925940636237,0.3582388659644292,0.4515904419432312,0.8012472196678018,-0.1013706929521069
"Used a mobile phone or the internet to access an account, female (% age 15+)",302,-0.6308903502180319,0.9047776906711305,0.8540892485327026,-0.700793135387224,0.7935387706491276,-0.09833776182540344,-0.2508639875364267,-0.6052867972269553,-0.9158511205030516,0.9158511205030516,0.8697904410277861,0.38711808800194136,-0.9809948650864065,-0.4726472074328032,,0.68062828816017,0.68062828816017,0.6745681791001109,0.6682768159985455,0.6710693350311193,0.6627918479006628,0.6250808811227935,0.6831660191713999,0.6439635332955719,0.6818047575858556,0.6745681791001109,0.6682768159985455,0.612386633783509,0.6768636778342958,0.7597386497740064,0.6929457827522636,0.6756659993967064,0.6690662671174854,0.6708885877965979,0.5500720272993036,0.6247167632755961,0.6893181323366101,0.8599311332180344,0.7346048252543976,0.7186859278183093,0.7442105899004653,0.8384909334189006,0.8727928858892484,0.8705598571931508,0.8563994891011109,0.8724626496357429,0.8957908327304525,0.9219905766728862,0.85481324145992,0.8765966265489976,0.8831915310936819,0.8456285865709908,0.9497562318077165,0.9791304085463817,0.20619612262770107,0.11286862872425338,0.3159450764715877,0.18585362929445315,0.25696782123873046,0.8917973961151758,0.5157647057192244,0.7042935713834488,0.8628870771334772,0.8656665147920494,0.8382711754028881,0.961041034453515,0.9563399921117817,0.2689721280870905,0.3027758900276307,0.23180843620172767,0.5756366395722313,0.8391303829103895,0.45155452536481216,0.8225573780562686,0.8363007874288755,0.7956887222803924,0.8706217763140781,0.7764872376353833,0.8612135810562036,0.8551525649758596,0.8556353276057648,0.9751713335101382,0.9575418874129191,0.8205119628307067,0.8154659115612402,0.8209687366366218,0.8251324042232688,0.865846132262312,0.2184174219678614,0.30612450290571397,0.10757477463736428,0.9648321793183069,0.3468465164341427,0.8448231083984213,0.746420526500218,0.19874921214452623,-0.3298223053369262,0.8041039364543161,0.6528708536013657,0.98411523074671,0.9470195764985169,0.7006474524493713,0.9706580178142473,1.0,0.895225209056756,,,0.8313130167846925,0.8290862096098142,0.8272830576748534,0.8982602226652797,0.8837616562624269,0.8710489525432015,0.6988528247848014,0.8946811780344598,0.8640171035318266,0.9245024206485039,0.9235934967333648,0.7119393983811815,0.6939590601492515,0.7162640062853289,0.6746394783746937,0.95443868453053,-0.15891893203512908,-0.25458860703362846,0.03560426393401812,0.38394959637614523,0.5187222711484052,0.847234130571311,0.023435671268793205
"Used a mobile phone or the internet to access an account, male (% age 15+)",302,-0.4750030977604309,0.7342302235532014,0.7590631834976453,-0.5505205577637892,0.6996318790434825,-0.08900399762553435,-0.21986516022979163,-0.31432436352468773,-0.7753227716383779,0.7753227716383778,0.8697904410277861,0.3658844221733542,-0.9809948650864065,-0.5232309612514351,,0.5874510154696572,0.5874510154696572,0.5285529917735334,0.6322198848301219,0.5840206613607059,0.5864300670129583,0.5491682988297624,0.578622246227197,0.5260556849843105,0.5773804439079585,0.5285529917735334,0.6322198848301219,0.39191135892809004,0.42305519337494607,0.6783091173407926,0.5818527594952476,0.5500480006329648,0.5074987785690719,0.584471482953639,0.20873325017643704,0.31408721770204323,0.48866781350630095,0.6798910297552647,0.5869667354005487,0.5767521511806216,0.5925451299519148,0.4809674126594916,0.6133695022460545,0.6894134366320849,0.6716639418341546,0.6874147741791063,0.524861987518341,0.6786948421755058,0.838742236005844,0.7856493893348289,0.7370556533901856,0.8111168727125324,0.9090655743642772,0.8423916059207699,-0.0160415135715189,-0.14889938372793776,0.19258600926002636,-0.20488466828935667,0.08351686726510597,0.8032024444931433,0.5061217954900773,0.508410242592806,0.7624059944385659,0.7128448932841819,0.7917843573142923,0.8214670123963265,0.7882430223716512,0.3612233633602569,0.3166055025915996,0.38400872188574015,0.9046537312013716,0.9307687461283676,0.2915649978440592,0.6282478425556189,0.6286096602473072,0.6171642813469334,0.4581478167213412,0.4596930088383817,0.7344948922194852,0.6986322585607314,0.7588573988761708,0.7699205592994893,0.7737316088687423,0.6261026398478331,0.6213569744025352,0.626913362378891,0.39884653313345797,0.5973269923267693,0.1502367061331392,0.23772367816875833,0.04350285079399258,0.7693088736763749,0.23834258758006913,0.6484046973296124,0.4591564145688986,0.06914453784845452,-0.6361838939301439,0.6358517073323551,0.45873049420349815,0.8511801263924961,0.8479346659194056,0.8679691214015455,0.9760568524617634,0.895225209056756,1.0,,,0.640524771180731,0.6340256126798458,0.642747902914576,0.5037283390086483,0.6353701301453021,0.7135525030900625,0.5419567340201366,0.7372559752864328,0.7562608198999184,0.7367960238591503,0.7342360014451516,0.618549472411458,0.5548049046611259,0.6765681562468204,0.9002784562638162,0.7969312591647085,-0.1590963646125424,-0.33425438543741237,0.022347944260843734,0.3154893956539276,0.37245903686912457,0.7206933045251858,-0.1452122044713802
"Used a mobile phone or the internet to access an account, rural (% age 15+)",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Used a mobile phone or the internet to access an account, urban (% age 15+)",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Used a mobile phone or the internet to buy something online (% age 15+),302,-0.6812451155472685,0.7522651093293334,0.7631677945768904,-0.7027998743458528,0.5646633890411549,-0.16127289758868552,-0.2769519734451745,-0.6884437925769774,-0.8424112124254806,0.8424112124254807,-0.41915578790875374,0.37215562541320185,0.860003145733221,-0.42561819257201644,,0.660703986922918,0.660703986922918,0.6798940810093407,0.6227459891860632,0.6430054001084424,0.6203152056612545,0.5460475840402788,0.6817142941907971,0.6250094280854114,0.6831058683413727,0.6798940810093407,0.6227459891860632,0.5777703507011304,0.720585200150167,0.6697142696826976,0.614193197404253,0.6641174664699594,0.6739678118264515,0.6426151835253745,0.615513716911122,0.707303097463783,0.7555347053338155,0.8584782179657406,0.7981045581207903,0.7938394497815565,0.7946070639502061,0.9037731414112641,0.9113229520082082,0.8796883435702555,0.8776242954041489,0.8732704214079802,0.9603096551479111,0.9594667245213807,0.8635542507888871,0.8890218144677119,0.9240015829096399,0.8299417402639296,0.74117135761305,0.9372814018208131,0.3724362940945327,0.3313339847683615,0.37051266113959613,0.34675274290930336,0.32311258350151856,0.80313289335872,0.7488733661593067,0.8198860205820913,0.8858440405679879,0.9150560917329678,0.8345210601464911,0.8056117264616572,0.9395340392859679,0.488901374164149,0.5784860006877379,0.3960419294883781,0.21229699813223815,0.7203742165505249,0.601273798861559,0.8916812810720903,0.9033134477088435,0.8666808433420101,0.961524447329575,0.8895496284616901,0.9134628902314702,0.9181412290427216,0.8972924519717727,0.8676324225923615,0.9513914178880413,0.8343641491167431,0.8299656895606699,0.8337615321162459,0.9189290803617782,0.93973575271876,0.4623591278850303,0.4919697265658569,0.40248764881808274,0.8600264050926992,0.4772424533580518,0.8267141906609665,0.8320322146469691,0.43625202607267055,-0.042594478523879944,0.8683417424167501,0.8307913419709875,0.8509735068998955,0.8681003003608657,0.4904553653016592,0.7509326830682159,0.8313130167846925,0.640524771180731,,,1.0,0.9960963042702545,0.9958826412358085,0.9703046033592427,0.9571859860691259,0.9585319477986713,0.9167399385221154,0.9557856913973142,0.9234631809493639,0.8742180034329339,0.9453124223775918,0.7976340553197822,0.815121336819857,0.7595916952984453,0.3687935402150828,0.9350783528702538,-0.06136658743663623,-0.3249869202484146,-0.005581744347067873,0.4681423397271118,0.6603958352558247,0.8769365744684404,0.011306772908440703
"Used a mobile phone or the internet to buy something online, female (% age 15+)",302,-0.6631252260374182,0.7383699734914094,0.7540514124124394,-0.7031563080740573,0.5442906375160902,-0.13394501870188608,-0.3159826412951433,-0.7270422033223579,-0.8482802436747046,0.8482802436747049,-0.7523089045665377,0.3046361298229233,0.9876616858309937,-0.4331295129953062,,0.6307192370803483,0.6307192370803483,0.6546060867861836,0.5885975681949387,0.610992256448134,0.5870312239026206,0.5080343755753846,0.6547298094711594,0.5975752977358606,0.659171790844972,0.6546060867861836,0.5885975681949387,0.5182489593765904,0.7018677718878589,0.6605877960854957,0.6210562696695002,0.635202058546019,0.6494097628349889,0.6095276221257715,0.5587099586469556,0.6904920310220505,0.7651323645736091,0.8492716671498812,0.7909276473899345,0.7919725088015868,0.7823463273983204,0.8788253104900141,0.9024581342914377,0.8750426475695724,0.8783306734159309,0.8628071130552362,0.9469397395370924,0.9527382148013551,0.849803006160997,0.8747908965543439,0.9170476834525341,0.8090886238505676,0.725532037855426,0.9344135863575731,0.4005022043416345,0.3641240734856702,0.38539748273463664,0.4141165226155622,0.3701974427639684,0.7833185171923797,0.7262260913829504,0.8287210840642961,0.8724544454556014,0.9073759526966726,0.815767777822066,0.7819045079110792,0.939457408667006,0.46985898942138765,0.5657075394865688,0.37281725794581627,0.2013453669741846,0.7181456055999489,0.6162925416146254,0.8829801492042783,0.9015533053067809,0.8511816518032999,0.9513995142327687,0.8967382792670561,0.9019622213460998,0.908645271304543,0.8837750070071445,0.8487462042022007,0.9528187271997313,0.8327372468865167,0.8306004134681165,0.8298052876336925,0.9102634358540912,0.9426481930396535,0.4659369883396356,0.4991417180656623,0.40248809898919274,0.8420401855085181,0.47994443778068435,0.8147037144700897,0.8385089261802267,0.45119633853454877,-0.05666569744510474,0.8661996310830161,0.840465922295408,0.846588823905716,0.8723255966990504,0.49673778589710865,0.7464118487055974,0.8290862096098142,0.6340256126798458,,,0.9960963042702545,1.0,0.9840128477092613,0.9675527472794403,0.9668495636933576,0.9467575002088231,0.9178026871657913,0.945697732637126,0.9039236970455636,0.849848437177497,0.941765239371579,0.7933558746377177,0.8156960811706127,0.7505152974350692,0.35074758134357564,0.9253335181970896,-0.03417408686072178,-0.28861166958287726,0.015866688336590423,0.4616809720190775,0.6657537305458068,0.8664772036720167,0.056506191175235324
"Used a mobile phone or the internet to buy something online, male (% age 15+)",302,-0.6937489053961743,0.75992306524844,0.7659964075195383,-0.6967520280094037,0.5801490572813943,-0.1881921804486426,-0.23741312144469062,-0.6414736315014786,-0.829321658540291,0.8293216585402916,0.16499350478809516,0.4316242815895517,0.41891282568414606,-0.4170034190018475,,0.6857504851485667,0.6857504851485667,0.6998102171206559,0.6525524560911204,0.6703248517664026,0.648825213191252,0.5798806878598516,0.7037177222582361,0.6475288914719437,0.7017036060699493,0.6998102171206559,0.6525524560911204,0.6368345572245622,0.7340035159127168,0.6734128436449789,0.6026798860713685,0.6880301825586702,0.6931966730671494,0.6711342869172002,0.6705576776781581,0.7186908983888534,0.7406540564071987,0.8604165268177866,0.7982308593221371,0.7887926750927878,0.7997680436172461,0.9210549546384204,0.9133055054044633,0.8772108071476945,0.8695740991258795,0.8765312904385983,0.9642482547613708,0.9592753070808328,0.8696729398850759,0.8962645724313463,0.9235499951185132,0.8444285127139155,0.7517994091266049,0.9331283919938377,0.33959987258324753,0.2936393813399059,0.3519605900610009,0.2661398920142016,0.2703982861601857,0.8168528248735052,0.7658367175995169,0.8045137739450828,0.8923553112369419,0.915391142569662,0.8470439873647204,0.8240089914853791,0.9327286997564083,0.5040276893369595,0.5865136280342469,0.41620655632826886,0.22418828196884175,0.7180572246109794,0.5823228906374034,0.8927412561892503,0.8972171837407267,0.8748884539099816,0.96145990560583,0.8751835458465559,0.9179797811100826,0.920341098611531,0.9042155129545943,0.8800170903173012,0.943454681899025,0.8300217053026735,0.8233638935876779,0.8317900890351402,0.9192883353324445,0.9305095227663972,0.4550919740427966,0.4813387281415531,0.3987698278836847,0.8713067582656187,0.4718955734028796,0.8325295362078793,0.8190220160073557,0.4181900637430844,-0.029460854261267076,0.8631434124057129,0.8137511711493156,0.8490391144941194,0.8571910199234447,0.48033397518831844,0.7500969266547102,0.8272830576748534,0.642747902914576,,,0.9958826412358085,0.9840128477092613,1.0,0.9622010646816439,0.9405220190270559,0.9625372588429933,0.9075574335815132,0.9583262934453992,0.9358403203837828,0.892843063958421,0.9422631151798923,0.7952846944797006,0.8076828397753956,0.762483918316497,0.3873504421608845,0.9387802661724763,-0.08892294524727545,-0.36098950992094075,-0.027210912697295416,0.470563965949386,0.6496160427898866,0.8799133001665042,-0.03445732637982551
"Used a mobile phone or the internet to buy something online, rural (% age 15+)",183,-0.4940959028327705,0.9779111032263175,0.750728932159877,-0.6943862494400772,-0.34516341732562955,0.29058680996832087,-0.16527960534433336,-0.747138461516856,-0.895955890882114,0.895955890882114,-0.8697904410277856,0.2740017259156678,0.9809948650864068,-0.36853428180168246,,0.6257961257357888,0.6257961257357888,0.6623768796339152,0.5587602541935913,0.6074582477930168,0.5682092510781186,0.4438532702626928,0.6602592447202908,0.6148110861656196,0.6617523319966052,0.6623768796339152,0.5587602541935913,0.6405543964415723,0.6619984915909566,0.45805306076511815,0.3214429459022478,0.6542636943679132,0.6738406261771928,0.6151799924155211,0.6798566267605304,0.6592827500136582,0.6758621796120006,0.9796538181853967,0.967954879098371,0.9932342211649409,0.890668553175847,0.95184200125602,0.8461898282689913,0.9886287685015182,0.9956087902114447,0.9580774908009632,0.9920792364930962,0.9557452212315741,0.763502129584871,0.8051024845196721,0.8946148139274305,0.6698221881720567,0.7581141253532349,0.884871100522813,0.2734329571917005,0.22018789357301,0.2979753307213382,0.32096043759158405,0.22424187150407462,0.681832880015634,0.5734220045886049,0.7784009960127248,0.8535307272474695,0.909948290827849,0.7575497995147997,0.8323145487424684,0.9092237983348596,0.09423269029477685,0.31343284163085944,-0.055962285664314035,0.21054467146464614,0.6161285001727941,0.6207937680695622,0.8669627703666244,0.8896784714217655,0.8224013963821635,0.9922469939726787,0.8791251516628067,0.9230153158317614,0.9412291887764891,0.8800991018385904,0.8953054093350903,0.922700739374698,0.9794341726999228,0.9726624173749145,0.9806406984073223,0.9586988931443308,0.9455057228704504,0.9619950505547209,0.987925575135553,0.8566681612794254,0.8921149203352791,0.9123618306533048,0.9087175593372538,0.8205682260294305,0.9972078927613134,0.189680386751969,0.9843994037606063,0.9781414621938959,0.960397295651469,0.9092822364374176,0.21960069041800914,0.7034727105434181,0.8982602226652797,0.5037283390086483,,,0.9703046033592427,0.9675527472794403,0.9622010646816439,1.0,0.981903776121547,0.9360004945781631,0.8624040404752468,0.9556793371587631,0.7876702766324283,0.9012932504746751,0.9161386557031675,0.8465573251083645,0.9632948410315274,0.640145298012335,0.383108354961809,0.8902077217532536,-0.22076347042374636,-0.27068350384601747,0.09694664889411375,0.4199297270386205,0.5300039223088574,0.792600517452149,0.2614399315834154
"Used a mobile phone or the internet to buy something online, urban (% age 15+)",202,-0.6512157172120708,0.764554305387408,0.8113462588534726,-0.7535018579488219,0.5511396643631945,-0.0037163255630358817,-0.29905168802885396,-0.7426948206164821,-0.9030886480572146,0.9030886480572146,-0.8697904410277859,0.3712852437040893,0.9809948650864067,-0.41574649579584416,,0.7053027061783631,0.7053027061783631,0.7473958755881147,0.6381340008251261,0.6859761307216985,0.6685038583137936,0.6123270338439333,0.7255838348317717,0.7064817322008698,0.7432460345237784,0.7473958755881147,0.6381340008251261,0.5556050796195077,0.7777548607767878,0.6524269984972547,0.6312965850235369,0.7319770681503629,0.7584975940744868,0.6899508867330454,0.6229690849374782,0.7805124843862538,0.8236210650789515,0.8979382839837347,0.9003920163567712,0.9432355754580224,0.8459185578040938,0.9114626310559527,0.9181665118862988,0.9380908568159274,0.9543366657620576,0.9147213749243048,0.9605481722136514,0.9598945112526904,0.7720046568024045,0.8376735214082144,0.8911662910628676,0.7570726824356229,0.6666335892472277,0.9078054114874418,0.40460662636615996,0.3458349218893525,0.41612727422028645,0.42631633870916674,0.3435648357306137,0.7770667272454714,0.5899096465099345,0.8739911886297088,0.8705032902616996,0.9123966648855182,0.8030282093851557,0.7435110587176318,0.9388135206828483,0.2164148339938863,0.4176325837452614,0.06191358994588946,0.10494404646072669,0.6819992995655809,0.7908787045017435,0.894165514769151,0.9117535933383984,0.863610036766502,0.9679702478212319,0.9635434654568559,0.9121736210146649,0.9230880834040994,0.8871551526077651,0.8204235633047618,0.9496001798102747,0.9770607891225349,0.9815154816351529,0.9677103681345343,0.9581124644624642,0.9803774980147782,0.6570541700971022,0.7464155083347263,0.47675459772050593,0.8253467388991494,0.5892137310108997,0.9161576924793187,0.92447911782058,0.9679511873545661,0.04739748166372834,0.9472031988008791,0.9695271731949633,0.922272335577075,0.9014673090312956,0.3895561891303941,0.7782264778438347,0.8837616562624269,0.6353701301453021,,,0.9571859860691259,0.9668495636933576,0.9405220190270559,0.981903776121547,1.0,0.9103042199090376,0.901033597676624,0.906630110803351,0.8268164633165894,0.8455568339156297,0.9505511346264222,0.8529129626642135,0.9209130913573077,0.7489569061649316,0.29180976690114996,0.9137482755703176,-0.14819733511516547,-0.12229223708192914,0.0940806552571088,0.4707305429854867,0.621887495436179,0.7831127764754423,0.3402105777086256
