"","code","year","mobile_money_transactions"
"225","BFA","2016",2414723
"226","BFA","2017",3933355
"227","BFA","2018",4672054
"228","BFA","2019",5545008
"229","BFA","2020",7431641
"230","BFA","2021",9396861
"231","BFA","2022",13444985
"232","BFA","2023",16636717
"233","WSM","2016",22.135
"234","WSM","2017",22.513
"235","WSM","2018",21.137
"236","WSM","2019",23.215
"237","WSM","2020",22.939
"238","WSM","2021",24.635
"239","WSM","2022",44.562
"240","WSM","2023",37.76
"241","TGO","2016",263122
"242","TGO","2017",394346
"243","TGO","2018",607839
"244","TGO","2019",910665
"245","TGO","2020",1488691
"246","TGO","2021",1942871
"247","TGO","2022",2890176
"248","TGO","2023",3540863
"249","LBR","2016",NA
"250","LBR","2017",20.445593
"251","LBR","2018",42.333266
"252","LBR","2019",82
"253","LBR","2020",495
"254","LBR","2021",421
"255","LBR","2022",549
"256","LBR","2023",584
"257","CIV","2016",17.16258096
"258","CIV","2017",21.4277602
"259","CIV","2018",29.85089292
"260","CIV","2019",30.45595717
"261","CIV","2020",38.41691441
"262","CIV","2021",53.26880152
"263","CIV","2022",73.67418537
"264","CIV","2023",NA
"265","BEN","2016",919522
"266","BEN","2017",1879002
"267","BEN","2018",2386477
"268","BEN","2019",2818927
"269","BEN","2020",4347094
"270","BEN","2021",6123217
"271","BEN","2022",8085694
"272","BEN","2023",10813924
"273","KEN","2016",3355577
"274","KEN","2017",3638474
"275","KEN","2018",3984370
"276","KEN","2019",4345761.397
"277","KEN","2020",5213548.514
"278","KEN","2021",6868770
"279","KEN","2022",7908830
"280","KEN","2023",7883500
"281","MDG","2016",12.7644265
"282","MDG","2017",17.85438124
"283","MDG","2018",2.693992334
"284","MDG","2019",41.45871312
"285","MDG","2020",49.59177295
"286","MDG","2021",59.29728219
"287","MDG","2022",71.82801093
"288","MDG","2023",NA
"289","LVA","2016",NA
"290","LVA","2017",NA
"291","LVA","2018",NA
"292","LVA","2019",NA
"293","LVA","2020",NA
"294","LVA","2021",NA
"295","LVA","2022",NA
"296","LVA","2023",NA
"297","GRC","2016",NA
"298","GRC","2017",NA
"299","GRC","2018",NA
"300","GRC","2019",NA
"301","GRC","2020",NA
"302","GRC","2021",NA
"303","GRC","2022",NA
"304","GRC","2023",NA
"305","AUT","2016",NA
"306","AUT","2017",NA
"307","AUT","2018",NA
"308","AUT","2019",NA
"309","AUT","2020",NA
"310","AUT","2021",NA
"311","AUT","2022",NA
"312","AUT","2023",NA
"313","GEO","2016",NA
"314","GEO","2017",NA
"315","GEO","2018",NA
"316","GEO","2019",NA
"317","GEO","2020",NA
"318","GEO","2021",NA
"319","GEO","2022",NA
"320","GEO","2023",NA
"321","COD","2016",NA
"322","COD","2017",NA
"323","COD","2018",9972222.973
"324","COD","2019",12067964.16
"325","COD","2020",20038939.64
"326","COD","2021",NA
"327","COD","2022",NA
"328","COD","2023",NA
"329","PAK","2016",6.629603519
"330","PAK","2017",7.886879519
"331","PAK","2018",9.33679998
"332","PAK","2019",10.28526153
"333","PAK","2020",14.27367585
"334","PAK","2021",16.06726187
"335","PAK","2022",18.91026518
"336","PAK","2023",21.62790715
"337","MWI","2016",303806
"338","MWI","2017",521326
"339","MWI","2018",952855
"340","MWI","2019",1672980
"341","MWI","2020",2520290.1
"342","MWI","2021",NA
"343","MWI","2022",6750387.199
"344","MWI","2023",NA
"345","SLB","2016",NA
"346","SLB","2017",NA
"347","SLB","2018",NA
"348","SLB","2019",NA
"349","SLB","2020",NA
"350","SLB","2021",NA
"351","SLB","2022",NA
"352","SLB","2023",NA
"353","RWA","2016",1040459
"354","RWA","2017",1384685.534
"355","RWA","2018",1808943.337
"356","RWA","2019",2349788
"357","RWA","2020",7176619.577
"358","RWA","2021",10439128.98
"359","RWA","2022",14602901
"360","RWA","2023",20776838
"361","SEN","2016",5.061835993
"362","SEN","2017",10.34795858
"363","SEN","2018",21.17519425
"364","SEN","2019",33.96951678
"365","SEN","2020",65.01667916
"366","SEN","2021",113.9839287
"367","SEN","2022",155.5757289
"368","SEN","2023",207.1386858
"369","MAR","2016",NA
"370","MAR","2017",NA
"371","MAR","2018",NA
"372","MAR","2019",NA
"373","MAR","2020",445.3113051
"374","MAR","2021",1116.5835
"375","MAR","2022",1739.425315
"376","MAR","2023",2119.415043
"377","TGO","2016",7.313393425
"378","TGO","2017",10.63242471
"379","TGO","2018",15.56805143
"380","TGO","2019",22.22706304
"381","TGO","2020",34.94990022
"382","TGO","2021",41.9986684
"383","TGO","2022",56.71693692
"384","TGO","2023",63.65012826
"385","SEN","2016",571147
"386","SEN","2017",1261602
"387","SEN","2018",2718914
"388","SEN","2019",4658124
"389","SEN","2020",9179978
"390","SEN","2021",17395223
"391","SEN","2022",26802459
"392","SEN","2023",38967232
"393","ZWE","2016",5816
"394","ZWE","2017",18021
"395","ZWE","2018",44142
"396","ZWE","2019",114865
"397","ZWE","2020",345441
"398","ZWE","2021",649515.07
"399","ZWE","2022",1756810.89
"400","ZWE","2023",1866524
"401","FJI","2016",0.375703277
"402","FJI","2017",0.644919224
"403","FJI","2018",2.523484803
"404","FJI","2019",0.802187963
"405","FJI","2020",1.980758712
"406","FJI","2021",NA
"407","FJI","2022",16.17334722
"408","FJI","2023",NA
"409","KEN","2016",44.1868412
