"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","TYPE_OF_TRANSFORMATION","FREQUENCY","SCALE","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"IMF.STA:FAS(4.0.0)","ZAF.FA66N.PTADLT_NUM.A","OBS_VALUE","South Africa","Number of mobile money transactions (during the reference year)","Per 1,000 adults","Annual","Units","88.3438097063325","","","","11.34258367638013","","","175.4524578335629",""
"IMF.STA:FAS(4.0.0)","SEN.FA66N.PTADLT_NUM.A","OBS_VALUE","Senegal","Number of mobile money transactions (during the reference year)","Per 1,000 adults","Annual","Units","8640.193230994428","17345.36241949632","33404.44868487897","47205.20659772309","60082.25495515922","101569.8673606738","144173.5616494698","204633.4856619735",""
"IMF.STA:FAS(4.0.0)","CMR.FA66N.PTADLT_NUM.A","OBS_VALUE","Cameroon","Number of mobile money transactions (during the reference year)","Per 1,000 adults","Annual","Units","6168.31691017628","21952.6922637371","39733.7760627881","56381.1013210011","69590.3466468309","","","",""
"IMF.STA:FAS(4.0.0)","WSM.FA66N.PTADLT_NUM.A","OBS_VALUE","Samoa","Number of mobile money transactions (during the reference year)","Per 1,000 adults","Annual","Units","1491.447363232731","1505.63883386108","1137.691388021135","1310.455200164613","1902.253835718087","1731.093300452117","1828.045205390649","5634.349717330008",""
"IMF.STA:FAS(4.0.0)","BWA.FA66N.PTADLT_NUM.A","OBS_VALUE","Botswana","Number of mobile money transactions (during the reference year)","Per 1,000 adults","Annual","Units","11834.1776655439","14556.60262202166","20289.43118508331","25210.47961319501","48075.48341754136","51255.55314322505","62985.11907280203","73388.22368167105",""
"IMF.STA:FAS(4.0.0)","CIV.FA66N.PTADLT_NUM.A","OBS_VALUE","Côte d'Ivoire","Number of mobile money transactions (during the reference year)","Per 1,000 adults","Annual","Units","20302.43917052065","26921.23343683361","39022.91968464935","42658.6174549769","44272.00595055358","69683.64750380012","76020.52127515692","",""
"IMF.STA:FAS(4.0.0)","ARM.FA66N.PTADLT_NUM.A","OBS_VALUE","Armenia, Republic of","Number of mobile money transactions (during the reference year)","Per 1,000 adults","Annual","Units","","","","","","","","",""
"IMF.STA:FAS(4.0.0)","SMR.FA66N.PTADLT_NUM.A","OBS_VALUE","San Marino, Republic of","Number of mobile money transactions (during the reference year)","Per 1,000 adults","Annual","Units","","","","","","","","",""
"IMF.STA:FAS(4.0.0)","AFG.FA66N.PTADLT_NUM.A","OBS_VALUE","Afghanistan, Islamic Republic of","Number of mobile money transactions (during the reference year)","Per 1,000 adults","Annual","Units","104.423404497994","168.113151313682","438.93164737335","100.043505560245","","","","",""
"IMF.STA:FAS(4.0.0)","BFA.FA66N.PTADLT_NUM.A","OBS_VALUE","Burkina Faso","Number of mobile money transactions (during the reference year)","Per 1,000 adults","Annual","Units","13053.96693616398","32355.20940270198","44227.80539665096","66537.4708363336","86631.25956223287","103412.5855840107","124754.6989384736","221033.6033530957",""
"IMF.STA:FAS(4.0.0)","MOZ.FA66N.PTADLT_NUM.A","OBS_VALUE","Mozambique, Republic of","Number of mobile money transactions (during the reference year)","Per 1,000 adults","Annual","Units","9776.209658855936","15911.46879271524","18328.1335249303","32979.66062614946","40203.14962992749","48764.57356430506","56852.41607486501","88488.88212725367",""
"IMF.STA:FAS(4.0.0)","TON.FA66N.PTADLT_NUM.A","OBS_VALUE","Tonga","Number of mobile money transactions (during the reference year)","Per 1,000 adults","Annual","Units","1450.05340639948","1507.64087141047","2005.16129032258","","","","","",""
"IMF.STA:FAS(4.0.0)","JOR.FA66N.PTADLT_NUM.A","OBS_VALUE","Jordan","Number of mobile money transactions (during the reference year)","Per 1,000 adults","Annual","Units","1.399003561519118","23.48238198995855","229.6613782000731","541.7423608546977","1648.429963923541","3627.888305050748","1445.765902315809","3420.045758669442",""
"IMF.STA:FAS(4.0.0)","LBR.FA66N.PTADLT_NUM.A","OBS_VALUE","Liberia","Number of mobile money transactions (during the reference year)","Per 1,000 adults","Annual","Units","","1558.491498976928","3658.516068493712","14380.24592843536","40429.57348549327","88651.49409198601","118724.8197264277","145956.7871754162",""
"IMF.STA:FAS(4.0.0)","BGR.FA66N.PTADLT_NUM.A","OBS_VALUE","Bulgaria","Number of mobile money transactions (during the reference year)","Per 1,000 adults","Annual","Units","","","","","","","","",""
"IMF.STA:FAS(4.0.0)","MLI.FA66N.PTADLT_NUM.A","OBS_VALUE","Mali","Number of mobile money transactions (during the reference year)","Per 1,000 adults","Annual","Units","15172.54755672801","19031.73715187342","24730.2922962417","31477.8454450861","30394.04437277186","46875.79590031716","64977.40015880122","81311.73422527235",""
"IMF.STA:FAS(4.0.0)","LVA.FA66N.PTADLT_NUM.A","OBS_VALUE","Latvia, Republic of","Number of mobile money transactions (during the reference year)","Per 1,000 adults","Annual","Units","","","","","","","","",""
"IMF.STA:FAS(4.0.0)","MDG.FA66N.PTADLT_NUM.A","OBS_VALUE","Madagascar, Republic of","Number of mobile money transactions (during the reference year)","Per 1,000 adults","Annual","Units","3648.9000835859","5668.097417827449","227.5937352046473","17837.33124606123","20595.80601747925","28573.55423477461","40272.0421560117","",""
"IMF.STA:FAS(4.0.0)","MMR.FA66N.PTADLT_NUM.A","OBS_VALUE","Myanmar","Number of mobile money transactions (during the reference year)","Per 1,000 adults","Annual","Units","1.2453119610315","532.845214208052","953.706705446524","1652.91558242455","","","","",""
"IMF.STA:FAS(4.0.0)","COD.FA66N.PTADLT_NUM.A","OBS_VALUE","Congo, Democratic Republic of the","Number of mobile money transactions (during the reference year)","Per 1,000 adults","Annual","Units","","","10215.6636605657","11775.9936250169","16004.8297934005","","","",""
"IMF.STA:FAS(4.0.0)","LSO.FA66N.PTADLT_NUM.A","OBS_VALUE","Lesotho, Kingdom of","Number of mobile money transactions (during the reference year)","Per 1,000 adults","Annual","Units","21299.54153453199","28506.48982603337","38722.03379254068","39882.50433515323","42318.31018785508","48359.70961283929","56261.75178233477","61716.28926905737",""
"IMF.STA:FAS(4.0.0)","RWA.FA66N.PTADLT_NUM.A","OBS_VALUE","Rwanda","Number of mobile money transactions (during the reference year)","Per 1,000 adults","Annual","Units","29151.93326041853","34545.1169994702","39987.58768332574","48996.12878461322","87923.66595581165","111214.9588557803","179432.0726668938","259246.6235408256",""
"IMF.STA:FAS(4.0.0)","GIN.FA66N.PTADLT_NUM.A","OBS_VALUE","Guinea","Number of mobile money transactions (during the reference year)","Per 1,000 adults","Annual","Units","6534.335288349548","18529.79929006404","32719.88416280645","42532.79299460066","55088.43740663281","67996.3185287633","87275.27944548576","126865.7107691068",""
"IMF.STA:FAS(4.0.0)","DNK.FA66N.PTADLT_NUM.A","OBS_VALUE","Denmark","Number of mobile money transactions (during the reference year)","Per 1,000 adults","Annual","Units","","","","","","","","",""
"IMF.STA:FAS(4.0.0)","EST.FA66N.PTADLT_NUM.A","OBS_VALUE","Estonia, Republic of","Number of mobile money transactions (during the reference year)","Per 1,000 adults","Annual","Units","","","","","","","","",""
"IMF.STA:FAS(4.0.0)","PLW.FA66N.PTADLT_NUM.A","OBS_VALUE","Palau, Republic of","Number of mobile money transactions (during the reference year)","Per 1,000 adults","Annual","Units","","","","","","","","",""
"IMF.STA:FAS(4.0.0)","ISL.FA66N.PTADLT_NUM.A","OBS_VALUE","Iceland","Number of mobile money transactions (during the reference year)","Per 1,000 adults","Annual","Units","","","","","","","","",""
"IMF.STA:FAS(4.0.0)","WBG.FA66N.PTADLT_NUM.A","OBS_VALUE","West Bank and Gaza","Number of mobile money transactions (during the reference year)","Per 1,000 adults","Annual","Units","","","","","","233.3292947619729","","",""
"IMF.STA:FAS(4.0.0)","FRA.FA66N.PTADLT_NUM.A","OBS_VALUE","France","Number of mobile money transactions (during the reference year)","Per 1,000 adults","Annual","Units","","","","","","","","",""
"IMF.STA:FAS(4.0.0)","MUS.FA66N.PTADLT_NUM.A","OBS_VALUE","Mauritius","Number of mobile money transactions (during the reference year)","Per 1,000 adults","Annual","Units","59.95283949604293","60.713395490577","69.8911521759448","342.8194738595759","1206.694496936925","2925.420951172032","3786.473234270053","5305.592692884362",""
"IMF.STA:FAS(4.0.0)","KAZ.FA66N.PTADLT_NUM.A","OBS_VALUE","Kazakhstan, Republic of","Number of mobile money transactions (during the reference year)","Per 1,000 adults","Annual","Units","","","","","","","","",""
"IMF.STA:FAS(4.0.0)","GNQ.FA66N.PTADLT_NUM.A","OBS_VALUE","Equatorial Guinea, Republic of","Number of mobile money transactions (during the reference year)","Per 1,000 adults","Annual","Units","","","","","","","","",""
"IMF.STA:FAS(4.0.0)","YEM.FA66N.PTADLT_NUM.A","OBS_VALUE","Yemen, Republic of","Number of mobile money transactions (during the reference year)","Per 1,000 adults","Annual","Units","","","","","","","","",""
"IMF.STA:FAS(4.0.0)","ABW.FA66N.PTADLT_NUM.A","OBS_VALUE","Aruba, Kingdom of the Netherlands","Number of mobile money transactions (during the reference year)","Per 1,000 adults","Annual","Units","","","","","","","","",""
"IMF.STA:FAS(4.0.0)","BIH.FA66N.PTADLT_NUM.A","OBS_VALUE","Bosnia and Herzegovina","Number of mobile money transactions (during the reference year)","Per 1,000 adults","Annual","Units","","","","","","","","",""
"IMF.STA:FAS(4.0.0)","SYC.FA66N.PTADLT_NUM.A","OBS_VALUE","Seychelles","Number of mobile money transactions (during the reference year)","Per 1,000 adults","Annual","Units","790.7671961316453","1108.855485662936","659.0473878684899","1300.830928716469","2066.07480716053","5146.574893477548","1338.913221475638","",""
"IMF.STA:FAS(4.0.0)","ITA.FA66N.PTADLT_NUM.A","OBS_VALUE","Italy","Number of mobile money transactions (during the reference year)","Per 1,000 adults","Annual","Units","","","","","","","","",""
"IMF.STA:FAS(4.0.0)","MDA.FA66N.PTADLT_NUM.A","OBS_VALUE","Moldova, Republic of","Number of mobile money transactions (during the reference year)","Per 1,000 adults","Annual","Units","","","","","","","","",""
"IMF.STA:FAS(4.0.0)","POL.FA66N.PTADLT_NUM.A","OBS_VALUE","Poland, Republic of","Number of mobile money transactions (during the reference year)","Per 1,000 adults","Annual","Units","","","","","","","","",""
"IMF.STA:FAS(4.0.0)","FIN.FA66N.PTADLT_NUM.A","OBS_VALUE","Finland","Number of mobile money transactions (during the reference year)","Per 1,000 adults","Annual","Units","","","","","","","","",""
"IMF.STA:FAS(4.0.0)","ESP.FA66N.PTADLT_NUM.A","OBS_VALUE","Spain","Number of mobile money transactions (during the reference year)","Per 1,000 adults","Annual","Units","","","","","","","","",""
"IMF.STA:FAS(4.0.0)","RUS.FA66N.PTADLT_NUM.A","OBS_VALUE","Russian Federation","Number of mobile money transactions (during the reference year)","Per 1,000 adults","Annual","Units","","","","","","","","",""
"IMF.STA:FAS(4.0.0)","BLZ.FA66N.PTADLT_NUM.A","OBS_VALUE","Belize","Number of mobile money transactions (during the reference year)","Per 1,000 adults","Annual","Units","","","","","","","","",""
"IMF.STA:FAS(4.0.0)","IRN.FA66N.PTADLT_NUM.A","OBS_VALUE","Iran, Islamic Republic of","Number of mobile money transactions (during the reference year)","Per 1,000 adults","Annual","Units","","","","","","","","",""
"IMF.STA:FAS(4.0.0)","IRL.FA66N.PTADLT_NUM.A","OBS_VALUE","Ireland","Number of mobile money transactions (during the reference year)","Per 1,000 adults","Annual","Units","","","","","","","","",""
"IMF.STA:FAS(4.0.0)","ALB.FA66N.PTADLT_NUM.A","OBS_VALUE","Albania","Number of mobile money transactions (during the reference year)","Per 1,000 adults","Annual","Units","105.9792837717239","434.3462744400426","748.9770527422139","1171.170052658514","1602.599885589509","2889.41950262503","4386.373608634089","6094.644768842733",""
"IMF.STA:FAS(4.0.0)","SVK.FA66N.PTADLT_NUM.A","OBS_VALUE","Slovak Republic","Number of mobile money transactions (during the reference year)","Per 1,000 adults","Annual","Units","","","","","","","","",""
"IMF.STA:FAS(4.0.0)","UKR.FA66N.PTADLT_NUM.A","OBS_VALUE","Ukraine","Number of mobile money transactions (during the reference year)","Per 1,000 adults","Annual","Units","","","","","","","","",""
"IMF.STA:FAS(4.0.0)","NZL.FA66N.PTADLT_NUM.A","OBS_VALUE","New Zealand","Number of mobile money transactions (during the reference year)","Per 1,000 adults","Annual","Units","","","","","","","","",""
"IMF.STA:FAS(4.0.0)","LUX.FA66N.PTADLT_NUM.A","OBS_VALUE","Luxembourg","Number of mobile money transactions (during the reference year)","Per 1,000 adults","Annual","Units","","","","","","","","",""
"IMF.STA:FAS(4.0.0)","UZB.FA66N.PTADLT_NUM.A","OBS_VALUE","Uzbekistan, Republic of","Number of mobile money transactions (during the reference year)","Per 1,000 adults","Annual","Units","","","","","","","","",""
"IMF.STA:FAS(4.0.0)","LBN.FA66N.PTADLT_NUM.A","OBS_VALUE","Lebanon","Number of mobile money transactions (during the reference year)","Per 1,000 adults","Annual","Units","","","","","","","","",""
"IMF.STA:FAS(4.0.0)","KNA.FA66N.PTADLT_NUM.A","OBS_VALUE","St. Kitts and Nevis","Number of mobile money transactions (during the reference year)","Per 1,000 adults","Annual","Units","","","","","","","","",""
"IMF.STA:FAS(4.0.0)","DOM.FA66N.PTADLT_NUM.A","OBS_VALUE","Dominican Republic","Number of mobile money transactions (during the reference year)","Per 1,000 adults","Annual","Units","","","","","","","","",""
"IMF.STA:FAS(4.0.0)","CHN.FA66N.PTADLT_NUM.A","OBS_VALUE","China, People's Republic of","Number of mobile money transactions (during the reference year)","Per 1,000 adults","Annual","Units","","","","","","","","",""
"IMF.STA:FAS(4.0.0)","GBR.FA66N.PTADLT_NUM.A","OBS_VALUE","United Kingdom","Number of mobile money transactions (during the reference year)","Per 1,000 adults","Annual","Units","","","","","","","","",""
"IMF.STA:FAS(4.0.0)","BRN.FA66N.PTADLT_NUM.A","OBS_VALUE","Brunei Darussalam","Number of mobile money transactions (during the reference year)","Per 1,000 adults","Annual","Units","","","","","","","","",""
"IMF.STA:FAS(4.0.0)","KOS.FA66N.PTADLT_NUM.A","OBS_VALUE","Kosovo, Republic of","Number of mobile money transactions (during the reference year)","Per 1,000 adults","Annual","Units","","","","","","","","",""
"IMF.STA:FAS(4.0.0)","SVN.FA66N.PTADLT_NUM.A","OBS_VALUE","Slovenia, Republic of","Number of mobile money transactions (during the reference year)","Per 1,000 adults","Annual","Units","","","","","","","","",""
"IMF.STA:FAS(4.0.0)","MNE.FA66N.PTADLT_NUM.A","OBS_VALUE","Montenegro","Number of mobile money transactions (during the reference year)","Per 1,000 adults","Annual","Units","","","","","","","","",""
"IMF.STA:FAS(4.0.0)","URY.FA66N.PTADLT_NUM.A","OBS_VALUE","Uruguay","Number of mobile money transactions (during the reference year)","Per 1,000 adults","Annual","Units","","","1338.121303648138","1697.077981036271","2217.219540432167","2929.247388334925","3719.247510293052","4206.668857405212",""
"IMF.STA:FAS(4.0.0)","KWT.FA66N.PTADLT_NUM.A","OBS_VALUE","Kuwait","Number of mobile money transactions (during the reference year)","Per 1,000 adults","Annual","Units","","","","","","","","",""
"IMF.STA:FAS(4.0.0)","MAC.FA66N.PTADLT_NUM.A","OBS_VALUE","Macao Special Administrative Region, People's Republic of China","Number of mobile money transactions (during the reference year)","Per 1,000 adults","Annual","Units","","","","","","","","",""
"IMF.STA:FAS(4.0.0)","SGP.FA66N.PTADLT_NUM.A","OBS_VALUE","Singapore","Number of mobile money transactions (during the reference year)","Per 1,000 adults","Annual","Units","","","","","","","","",""
"IMF.STA:FAS(4.0.0)","KGZ.FA66N.PTADLT_NUM.A","OBS_VALUE","Kyrgyz Republic","Number of mobile money transactions (during the reference year)","Per 1,000 adults","Annual","Units","","","","","","","","",""
"IMF.STA:FAS(4.0.0)","MSR.FA66N.PTADLT_NUM.A","OBS_VALUE","Montserrat, United Kingdom-British Overseas Territory","Number of mobile money transactions (during the reference year)","Per 1,000 adults","Annual","Units","","","","","","","","",""
"IMF.STA:FAS(4.0.0)","PER.FA66N.PTADLT_NUM.A","OBS_VALUE","Peru","Number of mobile money transactions (during the reference year)","Per 1,000 adults","Annual","Units","","","","","","","","",""
"IMF.STA:FAS(4.0.0)","ATG.FA66N.PTADLT_NUM.A","OBS_VALUE","Antigua and Barbuda","Number of mobile money transactions (during the reference year)","Per 1,000 adults","Annual","Units","","","","","","","","",""
"IMF.STA:FAS(4.0.0)","AIA.FA66N.PTADLT_NUM.A","OBS_VALUE","Anguilla, United Kingdom-British Overseas Territory","Number of mobile money transactions (during the reference year)","Per 1,000 adults","Annual","Units","","","","","","","","",""
"IMF.STA:FAS(4.0.0)","VCT.FA66N.PTADLT_NUM.A","OBS_VALUE","St. Vincent and the Grenadines","Number of mobile money transactions (during the reference year)","Per 1,000 adults","Annual","Units","","","","","","","","",""
"IMF.STA:FAS(4.0.0)","LCA.FA66N.PTADLT_NUM.A","OBS_VALUE","St. Lucia","Number of mobile money transactions (during the reference year)","Per 1,000 adults","Annual","Units","","","","","","","","",""
"IMF.STA:FAS(4.0.0)","GRD.FA66N.PTADLT_NUM.A","OBS_VALUE","Grenada","Number of mobile money transactions (during the reference year)","Per 1,000 adults","Annual","Units","","","","","","","","",""
"IMF.STA:FAS(4.0.0)","TUR.FA66N.PTADLT_NUM.A","OBS_VALUE","Türkiye, Republic of","Number of mobile money transactions (during the reference year)","Per 1,000 adults","Annual","Units","472.2930335478563","1865.367355679174","2387.306688643402","2020.501100999818","2032.273524361765","3011.095667674783","4106.974417564826","2247.599148541555",""
"IMF.STA:FAS(4.0.0)","HRV.FA66N.PTADLT_NUM.A","OBS_VALUE","Croatia, Republic of","Number of mobile money transactions (during the reference year)","Per 1,000 adults","Annual","Units","","","","","","","","",""
"IMF.STA:FAS(4.0.0)","MDV.FA66N.PTADLT_NUM.A","OBS_VALUE","Maldives","Number of mobile money transactions (during the reference year)","Per 1,000 adults","Annual","Units","","","259.4164289475132","609.3134767607063","923.0883942884838","995.1421586159929","4047.670353993087","4195.256180931612",""
"IMF.STA:FAS(4.0.0)","LTU.FA66N.PTADLT_NUM.A","OBS_VALUE","Lithuania, Republic of","Number of mobile money transactions (during the reference year)","Per 1,000 adults","Annual","Units","","","","","","","","",""
"IMF.STA:FAS(4.0.0)","NIC.FA66N.PTADLT_NUM.A","OBS_VALUE","Nicaragua","Number of mobile money transactions (during the reference year)","Per 1,000 adults","Annual","Units","","","309.7871754496219","402.628938203621","511.7435094606312","928.6112731370623","2.954712498159448","4.123218464690698",""
"IMF.STA:FAS(4.0.0)","JAM.FA66N.PTADLT_NUM.A","OBS_VALUE","Jamaica","Number of mobile money transactions (during the reference year)","Per 1,000 adults","Annual","Units","","739.2642667098557","1428.392281289075","2535.162546319441","3513.787542283424","6342.382960521528","1822.328223392539","1000.246856749292",""
"IMF.STA:FAS(4.0.0)","CHE.FA66N.PTADLT_NUM.A","OBS_VALUE","Switzerland","Number of mobile money transactions (during the reference year)","Per 1,000 adults","Annual","Units","","","","","","","","",""
"IMF.STA:FAS(4.0.0)","ARG.FA66N.PTADLT_NUM.A","OBS_VALUE","Argentina","Number of mobile money transactions (during the reference year)","Per 1,000 adults","Annual","Units","","","","","","","","",""
"IMF.STA:FAS(4.0.0)","HUN.FA66N.PTADLT_NUM.A","OBS_VALUE","Hungary","Number of mobile money transactions (during the reference year)","Per 1,000 adults","Annual","Units","6115.428263733058","6179.928414639963","5667.304341226636","5390.762957598323","3683.288843904644","3415.377027627391","4716.797318157753","5119.033923412512",""
"IMF.STA:FAS(4.0.0)","CHL.FA66N.PTADLT_NUM.A","OBS_VALUE","Chile","Number of mobile money transactions (during the reference year)","Per 1,000 adults","Annual","Units","","","","","","","","",""
"IMF.STA:FAS(4.0.0)","MLT.FA66N.PTADLT_NUM.A","OBS_VALUE","Malta","Number of mobile money transactions (during the reference year)","Per 1,000 adults","Annual","Units","","","","","","","","",""
"IMF.STA:FAS(4.0.0)","CYP.FA66N.PTADLT_NUM.A","OBS_VALUE","Cyprus","Number of mobile money transactions (during the reference year)","Per 1,000 adults","Annual","Units","","","","","","","","",""
"IMF.STA:FAS(4.0.0)","CZE.FA66N.PTADLT_NUM.A","OBS_VALUE","Czech Republic","Number of mobile money transactions (during the reference year)","Per 1,000 adults","Annual","Units","","","","","","","","",""
"IMF.STA:FAS(4.0.0)","BTN.FA66N.PTADLT_NUM.A","OBS_VALUE","Bhutan","Number of mobile money transactions (during the reference year)","Per 1,000 adults","Annual","Units","","","","","","","","",""
"IMF.STA:FAS(4.0.0)","CRI.FA66N.PTADLT_NUM.A","OBS_VALUE","Costa Rica","Number of mobile money transactions (during the reference year)","Per 1,000 adults","Annual","Units","","","","","","","","",""
"IMF.STA:FAS(4.0.0)","EGY.FA66N.PTADLT_NUM.A","OBS_VALUE","Egypt, Arab Republic of","Number of mobile money transactions (during the reference year)","Per 1,000 adults","Annual","Units","168.8637371713126","221.5839652033995","347.5601581016403","667.610838846627","1611.654791999149","3524.157939151006","6884.92030028193","13477.18425535771",""
"IMF.STA:FAS(4.0.0)","ISR.FA66N.PTADLT_NUM.A","OBS_VALUE","Israel","Number of mobile money transactions (during the reference year)","Per 1,000 adults","Annual","Units","","","","","","","","",""
"IMF.STA:FAS(4.0.0)","TTO.FA66N.PTADLT_NUM.A","OBS_VALUE","Trinidad and Tobago","Number of mobile money transactions (during the reference year)","Per 1,000 adults","Annual","Units","","","","","","","","",""
"IMF.STA:FAS(4.0.0)","TLS.FA66N.PTADLT_NUM.A","OBS_VALUE","Timor-Leste, Democratic Republic of","Number of mobile money transactions (during the reference year)","Per 1,000 adults","Annual","Units","","","","","","","","",""
"IMF.STA:FAS(4.0.0)","NLD.FA66N.PTADLT_NUM.A","OBS_VALUE","Netherlands, The","Number of mobile money transactions (during the reference year)","Per 1,000 adults","Annual","Units","","","","","","","","",""
