"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","TYPE_OF_TRANSFORMATION","FREQUENCY","SCALE","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"IMF.STA:FAS(4.0.0)","BEN.FA63N.PTADLT_NUM.A","OBS_VALUE","Benin","Number of active mobile money accounts","Per 1,000 adults","Annual","Units","152.0676700530828","295.8910148336077","391.5698218948751","614.1738514919286","725.2932488866007","852.2657611599076","1104.367714832715","1411.474434054646",""
"IMF.STA:FAS(4.0.0)","RWA.FA63N.PTADLT_NUM.A","OBS_VALUE","Rwanda","Number of active mobile money accounts","Per 1,000 adults","Annual","Units","472.4319534652934","518.7293293377211","621.5565263484594","607.9755857229194","587.755992432591","622.9846042239195","712.0186359728633","789.3804535212697",""
"IMF.STA:FAS(4.0.0)","BGD.FA63N.PTADLT_NUM.A","OBS_VALUE","Bangladesh","Number of active mobile money accounts","Per 1,000 adults","Annual","Units","140.287732284847","183.0951923169698","319.0242787281071","289.9740518360137","264.4364062826145","419.3405161477402","454.2211677939598","649.7789550712486",""
"IMF.STA:FAS(4.0.0)","TGO.FA63N.PTADLT_NUM.A","OBS_VALUE","Togo","Number of active mobile money accounts","Per 1,000 adults","Annual","Units","159.8346314444805","226.0918456494849","282.1977090912762","388.6910892341214","485.4289364544926","504.9533223035795","582.3071820675314","627.9258300202673",""
"IMF.STA:FAS(4.0.0)","PHL.FA63N.PTADLT_NUM.A","OBS_VALUE","Philippines","Number of active mobile money accounts","Per 1,000 adults","Annual","Units","98.63773080820059","29.48157387355282","67.91193493058086","120.8928956295754","269.0804506774066","456.0641672614597","578.3501898175057","853.8568476983031",""
"IMF.STA:FAS(4.0.0)","COD.FA63N.PTADLT_NUM.A","OBS_VALUE","Congo, Democratic Republic of the","Number of active mobile money accounts","Per 1,000 adults","Annual","Units","46.0702527414231","74.3622896907335","129.616940107056","137.831334319542","182.899311344004","","","",""
"IMF.STA:FAS(4.0.0)","LSO.FA63N.PTADLT_NUM.A","OBS_VALUE","Lesotho, Kingdom of","Number of active mobile money accounts","Per 1,000 adults","Annual","Units","249.5271850650748","290.7149480135464","466.6419010530255","559.2601064543788","595.0522704017797","752.8682882055989","841.0623129065802","907.0793102486589",""
"IMF.STA:FAS(4.0.0)","QAT.FA63N.PTADLT_NUM.A","OBS_VALUE","Qatar","Number of active mobile money accounts","Per 1,000 adults","Annual","Units","51.06219782957421","51.0133168770108","67.6873384144189","69.60537587678725","","149.2407460403263","","",""
"IMF.STA:FAS(4.0.0)","WSM.FA63N.PTADLT_NUM.A","OBS_VALUE","Samoa","Number of active mobile money accounts","Per 1,000 adults","Annual","Units","278.5659645276531","275.4917406292408","246.5039145358479","249.7847077741451","247.3372958468561","248.8183312782573","211.7508085253506","192.0101449480709",""
"IMF.STA:FAS(4.0.0)","GIN.FA63N.PTADLT_NUM.A","OBS_VALUE","Guinea","Number of active mobile money accounts","Per 1,000 adults","Annual","Units","97.6386171406367","131.3249944938488","196.3276004486171","247.966956985856","359.5916985543161","337.4200454882825","413.4204680411033","477.1267597935188",""
