"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","TYPE_OF_TRANSFORMATION","FREQUENCY","SCALE","2016","2017","2018","2019","2020","2021","2022","2023"
"IMF.STA:FAS(4.0.0)","NAM.FA65.XDC.A","OBS_VALUE","Namibia","Value of mobile money transactions (during the reference year)","Domestic currency","Annual","Millions","2932.0","10250.79704351","5419.046","8784.77","","11290.00704852","12248.6228598",""
"IMF.STA:FAS(4.0.0)","FJI.FA65.XDC.A","OBS_VALUE","Fiji, Republic of","Value of mobile money transactions (during the reference year)","Domestic currency","Annual","Millions","38.8","71.36","294.0","95.0","192.32781046","","1760.0",""
"IMF.STA:FAS(4.0.0)","BFA.FA65.XDC.A","OBS_VALUE","Burkina Faso","Value of mobile money transactions (during the reference year)","Domestic currency","Annual","Millions","2414723.0","3933355.0","4672054.0","5545008.0","7431641.0","9396861.0","1.3444985E7","1.6636717E7"
"IMF.STA:FAS(4.0.0)","WSM.FA65.XDC.A","OBS_VALUE","Samoa","Value of mobile money transactions (during the reference year)","Domestic currency","Annual","Millions","22.135","22.513","21.137","23.215","22.939","24.635","44.562","37.76"
"IMF.STA:FAS(4.0.0)","TGO.FA65.XDC.A","OBS_VALUE","Togo","Value of mobile money transactions (during the reference year)","Domestic currency","Annual","Millions","263122.0","394346.0","607839.0","910665.0","1488691.0","1942871.0","2890176.0","3540863.0"
"IMF.STA:FAS(4.0.0)","LBR.FA65.XDC.A","OBS_VALUE","Liberia","Value of mobile money transactions (during the reference year)","Domestic currency","Annual","Millions","","20.445593","42.333266","82.0","495.0","421.0","549.0","584.0"
"IMF.STA:FAS(4.0.0)","CIV.FA65.POGDP.A","OBS_VALUE","Côte d'Ivoire","Value of mobile money transactions (during the reference year)","Percent of GDP","Annual","Units","17.16258095952513","21.42776019937526","29.85089292309201","30.45595716758892","38.41691440668505","53.26880151859227","73.67418537223425",""
"IMF.STA:FAS(4.0.0)","BEN.FA65.XDC.A","OBS_VALUE","Benin","Value of mobile money transactions (during the reference year)","Domestic currency","Annual","Millions","919522.0","1879002.0","2386477.0","2818927.0","4347094.0","6123217.0","8085694.0","1.0813924E7"
"IMF.STA:FAS(4.0.0)","KEN.FA65.XDC.A","OBS_VALUE","Kenya","Value of mobile money transactions (during the reference year)","Domestic currency","Annual","Millions","3355577.0","3638474.0","3984370.0","4345761.3973471","5213548.5141293","6868770.0","7908830.0","7883500.0"
"IMF.STA:FAS(4.0.0)","MDG.FA65.POGDP.A","OBS_VALUE","Madagascar, Republic of","Value of mobile money transactions (during the reference year)","Percent of GDP","Annual","Units","12.76442649778489","17.85438124480913","2.69399233404126","41.45871311726967","49.59177295328622","59.29728219492525","71.82801093295522",""
"IMF.STA:FAS(4.0.0)","LVA.FA65.POGDP.A","OBS_VALUE","Latvia, Republic of","Value of mobile money transactions (during the reference year)","Percent of GDP","Annual","Units","","","","","","","",""
"IMF.STA:FAS(4.0.0)","GRC.FA65.XDC.A","OBS_VALUE","Greece","Value of mobile money transactions (during the reference year)","Domestic currency","Annual","Millions","","","","","","","",""
"IMF.STA:FAS(4.0.0)","AUT.FA65.XDC.A","OBS_VALUE","Austria","Value of mobile money transactions (during the reference year)","Domestic currency","Annual","Millions","","","","","","","",""
"IMF.STA:FAS(4.0.0)","GEO.FA65.POGDP.A","OBS_VALUE","Georgia","Value of mobile money transactions (during the reference year)","Percent of GDP","Annual","Units","","","","","","","",""
"IMF.STA:FAS(4.0.0)","COD.FA65.XDC.A","OBS_VALUE","Congo, Democratic Republic of the","Value of mobile money transactions (during the reference year)","Domestic currency","Annual","Millions","","","9972222.97331254","1.20679641594552E7","2.00389396449199E7","","",""
"IMF.STA:FAS(4.0.0)","PAK.FA65.POGDP.A","OBS_VALUE","Pakistan","Value of mobile money transactions (during the reference year)","Percent of GDP","Annual","Units","6.629603518699086","7.88687951861145","9.336799980435858","10.28526153447501","14.27367584539546","16.06726187395022","18.910265181211","21.62790714775356"
"IMF.STA:FAS(4.0.0)","MWI.FA65.XDC.A","OBS_VALUE","Malawi","Value of mobile money transactions (during the reference year)","Domestic currency","Annual","Millions","303806.0","521326.0","952855.0","1672980.0","2520290.1","","6750387.19912129",""
"IMF.STA:FAS(4.0.0)","SLB.FA65.XDC.A","OBS_VALUE","Solomon Islands","Value of mobile money transactions (during the reference year)","Domestic currency","Annual","Millions","","","","","","","",""
"IMF.STA:FAS(4.0.0)","RWA.FA65.XDC.A","OBS_VALUE","Rwanda","Value of mobile money transactions (during the reference year)","Domestic currency","Annual","Millions","1040459.0","1384685.53439154","1808943.33716827","2349788.0","7176619.576864","1.0439128984559E7","1.4602901E7","2.0776838E7"
"IMF.STA:FAS(4.0.0)","SEN.FA65.POGDP.A","OBS_VALUE","Senegal","Value of mobile money transactions (during the reference year)","Percent of GDP","Annual","Units","5.061835993348102","10.34795857804707","21.17519425486893","33.9695167800789","65.01667915537607","113.9839287014275","155.5757288837804","207.1386858256363"
