indicator,country,countryiso3code,date,value,unit,obs_status,decimal
"Life expectancy at birth, total (years)",Bhutan,BTN,2005,65.875,,,0
"Life expectancy at birth, total (years)",Bhutan,BTN,2004,65.29,,,0
"Life expectancy at birth, total (years)",Bhutan,BTN,2003,64.662,,,0
"Life expectancy at birth, total (years)",Bhutan,BTN,2002,63.984,,,0
"Life expectancy at birth, total (years)",Bhutan,BTN,2001,63.323,,,0
"Life expectancy at birth, total (years)",Bhutan,BTN,2000,61.842,,,0
"Life expectancy at birth, total (years)",Bhutan,BTN,1999,62.032,,,0
"Life expectancy at birth, total (years)",Bhutan,BTN,1998,61.322,,,0
"Life expectancy at birth, total (years)",Bhutan,BTN,1997,60.639,,,0
"Life expectancy at birth, total (years)",Bhutan,BTN,1996,59.982,,,0
"Life expectancy at birth, total (years)",Bhutan,BTN,1995,59.277,,,0
"Life expectancy at birth, total (years)",Bhutan,BTN,1994,58.395,,,0
"Life expectancy at birth, total (years)",Bhutan,BTN,1993,57.906,,,0
"Life expectancy at birth, total (years)",Bhutan,BTN,1992,57.208,,,0
"Life expectancy at birth, total (years)",Bhutan,BTN,1991,56.451,,,0
"Life expectancy at birth, total (years)",Bhutan,BTN,1990,55.811,,,0
"Life expectancy at birth, total (years)",Bhutan,BTN,1989,55.12,,,0
"Life expectancy at birth, total (years)",Bhutan,BTN,1988,54.385,,,0
"Life expectancy at birth, total (years)",Bhutan,BTN,1987,53.62,,,0
"Life expectancy at birth, total (years)",Bhutan,BTN,1986,52.826,,,0
"Life expectancy at birth, total (years)",Bhutan,BTN,1985,52.033,,,0
"Life expectancy at birth, total (years)",Bhutan,BTN,1984,51.313,,,0
"Life expectancy at birth, total (years)",Bhutan,BTN,1983,50.553,,,0
"Life expectancy at birth, total (years)",Bhutan,BTN,1982,49.776,,,0
"Life expectancy at birth, total (years)",Bhutan,BTN,1981,48.975,,,0
"Life expectancy at birth, total (years)",Bhutan,BTN,1980,48.198,,,0
"Life expectancy at birth, total (years)",Bhutan,BTN,1979,47.446,,,0
"Life expectancy at birth, total (years)",Bhutan,BTN,1978,46.691,,,0
"Life expectancy at birth, total (years)",Bhutan,BTN,1977,45.95,,,0
"Life expectancy at birth, total (years)",Bhutan,BTN,1976,45.23,,,0
"Life expectancy at birth, total (years)",Bhutan,BTN,1975,44.513,,,0
