col1,col2,col3,col4,col5
Andhra Pradesh,53.5,35.8,36.5,21.7
Arunachal Pradesh,70.9,35.5,39.1,23.8
Assam,54.7,43.5,19.2,14.1
Bihar,63.2,45.8,18.0,14.5
Chhattisgarh,48.1,28.7,7.4,3.4
Delhi,70.2,58.9,34.2,29.0
Goa,94.5,78.7,55.6,51.3
Gujarat,44.7,28.8,12.4,7.0
Haryana,65.2,33.9,27.3,19.6
Himachal Pradesh,94.2,60.4,32.6,29.5
Jharkhand,51.2,30.8,9.4,5.3
Karnataka,72.4,51.3,37.2,25.6
Kerala,92.7,72.3,50.0,43.0
Madhya Pradesh,48.1,23.7,11.3,7.6
Maharashtra,74.4,51.2,33.1,27.4
Manipur,60.7,54.5,30.0,23.1
Meghalaya,38.9,38.0,8.0,3.0
Mizoram,86.6,43.7,30.8,26.9
Nagaland,91.0,56.3,27.4,24.2
Odisha,48.7,32.2,17.5,12.1
Punjab,69.4,42.0,17.4,14.9
Rajasthan,51.2,23.7,11.7,8.8
Sikkim,79.2,69.9,53.6,40.2
Tamil Nadu,72.8,64.2,42.9,33.2
Telangana,73.4,47.0,41.8,29.9
Tripura,67.7,30.1,5.8,2.9
Uttar Pradesh,39.2,24.1,8.4,5.1
Uttarakhand,51.8,30.8,24.2,15.5
West Bengal,57.5,33.8,13.5,10.6
A & N Islands,77.2,30.7,22.5,15.5
Chandigarh,65.9,66.9,60.6,46.2
Dadra & Nagar Haveli,85.3,30.3,35.3,22.4
Jammu & Kashmir,76.3,44.4,18.6,13.8
Ladakh,90.2,81.3,36.5,28.2
Lakshadweep,76.7,69.2,63.6,60.7
Puducherry,94.9,87.1,53.5,50.7
all-India,56.7,36.9,19.6,14.3
