col1,col2,col3,col4,col5,col6,col7,col8,col9,col10
Andhra Pradesh,46.4,29.7,38.0,69.4,50.8,59.9,53.3,36.2,44.7
Arunachal Pradesh,49.9,42.0,46.0,63.4,54.9,59.3,52.3,44.2,48.4
Assam,54.9,42.1,48.6,69.0,59.2,64.2,56.6,44.2,50.5
Bihar,52.1,32.9,42.9,65.3,47.5,57.0,53.6,34.4,44.4
Chhattisgarh,50.6,33.8,42.2,74.2,61.5,67.9,55.2,39.1,47.2
Delhi,76.9,57.5,68.4,85.5,74.6,80.6,85.3,74.1,80.3
Goa,73.5,56.2,65.0,86.2,67.4,77.5,81.6,63.1,72.9
Gujarat,62.2,40.0,51.3,79.5,61.3,70.7,69.5,49.0,59.5
Haryana,68.7,47.8,58.8,74.7,58.8,67.3,71.1,52.0,62.1
Himachal Pradesh,67.2,51.6,59.2,80.1,70.5,75.7,68.8,53.5,61.0
Jharkhand,55.9,39.1,47.6,74.1,59.3,66.9,60.0,43.6,51.9
Karnataka,61.3,40.0,50.6,78.2,63.0,70.7,67.4,48.1,57.7
Kerala,69.8,59.9,64.5,74.8,64.7,69.5,72.2,62.1,66.8
Madhya Pradesh,52.4,34.9,43.9,72.7,57.4,65.2,57.6,40.6,49.4
Maharashtra,61.0,39.7,50.6,83.9,68.4,76.5,71.3,52.1,62.0
Manipur,77.4,66.4,72.0,81.9,70.4,76.1,78.9,67.8,73.3
Meghalaya,68.8,61.6,65.1,86.0,76.1,80.6,71.9,64.5,68.1
Mizoram,87.0,84.2,85.6,90.6,88.2,89.4,88.6,86.0,87.3
Nagaland,61.4,54.6,58.1,86.4,78.8,82.7,69.3,62.2,65.9
Odisha,47.8,33.9,40.8,67.0,53.7,60.3,50.8,37.0,43.9
Punjab,62.1,49.0,55.8,70.8,59.7,65.6,65.6,53.2,59.7
Rajasthan,59.8,34.3,47.1,77.3,55.4,66.8,64.7,40.0,52.5
Sikkim,75.2,70.3,72.8,84.8,80.1,82.6,77.8,72.7,75.4
Tamil Nadu,52.2,35.9,43.9,69.3,53.5,61.4,60.0,43.8,51.8
Telangana,58.4,40.1,49.1,79.3,61.0,70.4,67.4,48.5,57.9
Tripura,48.8,35.5,42.2,65.8,48.7,57.1,52.5,38.5,45.4
Uttar Pradesh,50.0,32.9,41.6,68.2,52.2,60.6,53.9,36.8,45.6
Uttarakhand,60.8,42.8,52.0,75.7,59.4,68.0,64.6,46.9,56.0
West Bengal,47.0,32.9,40.1,67.1,54.3,60.7,52.7,39.2,46.1
A & N Islands,53.6,47.8,50.8,67.7,57.8,62.8,59.6,52.2,56.0
Chandigarh,78.4,62.8,71.4,90.9,54.5,73.0,90.1,55.0,72.9
Dadra & Nagar Haveli,75.1,49.6,63.1,86.8,66.3,78.8,82.0,58.1,71.8
Jammu & Kashmir,62.1,40.0,51.3,75.5,59.5,68.0,64.6,43.6,54.4
Ladakh,65.6,49.6,57.8,78.5,69.7,74.0,67.4,52.7,60.2
Lakshadweep,71.0,59.5,65.6,68.9,55.9,62.5,69.4,56.6,63.2
Puducherry,70.6,53.3,61.8,78.4,58.0,67.9,75.8,56.4,65.9
all-India,54.8,37.0,46.0,74.9,59.3,67.3,61.0,43.8,52.5
