col1,col2,col3,col4,col5,col6,col7,col8,col9,col10
Andhra Pradesh,69.5,63.0,66.6,85.6,74.5,79.8,74.2,67.0,70.8
Arunachal Pradesh,38.7,37.6,38.2,55.6,49.9,52.7,41.6,39.8,40.7
Assam,74.1,63.0,68.5,87.6,83.0,85.3,75.4,65.0,70.2
Bihar,71.2,51.0,61.8,78.5,64.1,72.1,72.0,52.3,62.9
Chhattisgarh,74.7,61.2,68.0,86.6,85.2,85.9,76.6,65.0,70.9
Delhi,86.7,69.4,79.3,81.8,87.3,84.0,81.9,86.7,83.9
Goa,95.0,95.8,95.4,97.0,96.3,96.7,96.3,96.1,96.2
Gujarat,85.3,70.1,78.0,90.9,80.3,86.0,87.4,73.9,81.0
Haryana,90.1,80.6,85.9,76.1,71.9,74.3,84.6,77.2,81.3
Himachal Pradesh,93.1,86.2,89.8,90.6,88.1,89.6,92.8,86.4,89.8
Jharkhand,79.4,66.0,72.8,88.8,81.0,85.0,81.3,69.0,75.2
Karnataka,84.5,74.8,80.0,90.7,86.1,88.4,86.6,78.9,83.0
Kerala,91.2,85.4,88.2,90.4,88.2,89.4,90.8,86.6,88.7
Madhya Pradesh,76.0,61.5,68.9,85.6,77.2,81.7,78.3,65.0,71.9
Maharashtra,86.8,76.3,81.9,91.9,88.5,90.5,89.1,81.3,85.6
Manipur,60.2,53.0,56.8,58.7,45.3,52.1,59.8,50.7,55.4
Meghalaya,48.6,45.8,47.2,69.3,63.5,66.2,52.1,48.9,50.5
Mizoram,76.2,77.7,77.0,75.5,73.8,74.6,75.9,75.9,75.9
Nagaland,75.8,75.0,75.4,74.9,77.6,76.2,75.4,76.0,75.7
Odisha,62.8,51.4,57.1,82.6,72.8,77.5,65.7,54.8,60.2
Punjab,82.2,79.3,81.0,80.0,74.8,77.8,81.3,77.5,79.7
Rajasthan,75.8,55.7,66.0,81.7,72.6,77.5,77.4,60.0,69.1
Sikkim,90.4,93.6,92.0,92.5,94.6,93.5,90.9,93.8,92.4
Tamil Nadu,79.3,69.1,74.4,89.5,82.8,86.3,83.9,75.2,79.8
Telangana,79.5,71.3,75.4,88.0,82.6,85.4,83.3,76.2,79.8
Tripura,30.0,25.6,27.7,58.3,51.7,54.9,35.5,30.9,33.1
Uttar Pradesh,62.8,45.8,54.6,75.8,62.3,69.5,65.3,48.8,57.5
Uttarakhand,68.6,57.9,63.5,77.9,76.7,77.4,71.0,62.2,66.9
West Bengal,67.7,60.1,63.9,83.5,78.0,80.8,71.7,64.6,68.2
A & N Islands,80.6,76.3,78.6,93.9,85.9,89.8,85.4,80.4,83.0
Chandigarh,93.1,84.5,89.4,72.3,88.9,80.4,74.1,88.6,81.1
Dadra & Nagar Haveli,95.7,87.2,91.9,97.5,89.6,94.9,96.7,88.3,93.5
Jammu & Kashmir,85.1,74.6,80.2,92.2,89.6,91.1,86.4,77.0,82.0
Ladakh,81.6,66.7,74.2,92.0,90.3,91.1,83.1,70.4,76.8
Lakshadweep,83.5,74.9,80.0,87.5,87.1,87.3,86.4,85.1,85.7
Puducherry,90.4,90.2,90.3,94.8,94.5,94.7,93.3,92.9,93.1
all-India,73.6,59.9,67.1,85.0,78.1,81.8,76.9,64.9,71.2
