col1,col2,col3,col4,col5
Andhra Pradesh,62.9,52.0,52.6,35.3
Arunachal Pradesh,78.8,47.3,59.9,30.3
Assam,77.8,70.5,56.5,46.4
Bihar,68.7,56.4,33.2,27.9
Chhattisgarh,65.9,58.3,29.5,21.9
Delhi,84.4,73.9,57.7,50.9
Goa,93.2,90.8,49.7,45.9
Gujarat,61.1,56.3,28.0,23.6
Haryana,72.0,45.5,40.3,30.0
Himachal Pradesh,90.7,75.2,53.0,51.8
Jharkhand,68.6,55.5,40.3,31.4
Karnataka,81.1,72.1,55.1,44.6
Kerala,91.3,75.2,60.1,50.9
Madhya Pradesh,66.5,51.3,41.5,33.1
Maharashtra,76.7,68.0,53.8,44.1
Manipur,71.3,70.0,37.7,30.6
Meghalaya,68.2,52.9,27.3,18.8
Mizoram,88.7,55.1,48.2,42.2
Nagaland,89.7,74.5,50.5,44.0
Odisha,73.7,56.4,36.1,32.5
Punjab,66.3,49.9,35.3,30.6
Rajasthan,68.1,52.4,36.9,34.0
Sikkim,86.7,73.6,75.3,63.4
Tamil Nadu,78.6,73.5,56.0,44.4
Telangana,77.2,68.9,61.5,44.2
Tripura,49.9,45.8,21.2,12.3
Uttar Pradesh,49.6,46.1,30.4,20.1
Uttarakhand,68.9,46.9,37.9,30.5
West Bengal,62.1,48.7,25.3,22.1
A & N Islands,92.3,44.2,51.8,29.1
Chandigarh,80.3,70.1,64.9,58.8
Dadra & Nagar Haveli,74.5,53.0,46.2,46.2
Jammu & Kashmir,82.3,78.7,44.1,38.8
Ladakh,91.3,87.3,82.8,70.8
Lakshadweep,90.5,97.4,55.1,52.1
Puducherry,92.0,85.0,53.6,51.4
all-India,70.3,59.9,44.0,35.3
