col1,col2,col3,col4,col5,col6,col7,col8,col9,col10
Andhra Pradesh,84.8,83.9,84.4,94.7,90.7,92.6,87.7,86.3,87.0
Arunachal Pradesh,67.0,67.3,67.1,77.2,76.2,76.7,68.8,68.9,68.8
Assam,81.8,73.8,77.8,93.1,89.4,91.2,82.9,75.3,79.1
Bihar,81.4,63.3,72.9,91.6,79.6,86.3,82.5,65.0,74.4
Chhattisgarh,81.8,69.9,76.0,90.7,90.2,90.5,83.3,73.2,78.3
Delhi,94.7,85.2,90.6,94.8,94.3,94.6,94.8,94.0,94.4
Goa,99.0,97.4,98.2,98.1,98.1,98.1,98.4,97.8,98.1
Gujarat,90.6,79.9,85.5,91.6,82.8,87.5,91.0,81.0,86.3
Haryana,96.1,91.1,93.9,93.4,84.6,89.6,95.1,88.6,92.2
Himachal Pradesh,93.2,90.4,91.9,93.2,92.9,93.1,93.2,90.6,92.0
Jharkhand,85.7,76.5,81.2,92.2,87.2,89.7,87.0,78.7,82.9
Karnataka,93.1,85.8,89.7,96.6,90.7,93.7,94.3,87.6,91.1
Kerala,98.5,98.2,98.3,99.2,98.9,99.0,98.8,98.5,98.7
Madhya Pradesh,88.3,77.0,82.8,93.9,87.8,91.1,89.7,79.4,84.7
Maharashtra,93.1,84.5,89.1,96.8,92.6,95.1,94.8,87.9,91.7
Manipur,94.2,92.0,93.2,97.8,96.3,97.1,95.2,93.3,94.3
Meghalaya,85.6,81.9,83.7,94.6,91.2,92.8,87.1,83.5,85.3
Mizoram,96.0,95.1,95.6,98.8,98.9,98.9,97.4,96.9,97.1
Nagaland,88.8,89.4,89.1,98.9,99.3,99.1,92.8,93.2,93.0
Odisha,81.8,70.8,76.3,91.6,82.7,86.9,83.2,72.7,77.9
Punjab,91.6,89.5,90.7,94.4,91.7,93.2,92.7,90.4,91.7
Rajasthan,87.1,71.8,79.7,90.9,82.4,87.0,88.1,74.6,81.6
Sikkim,95.5,95.8,95.6,98.1,96.2,97.2,96.1,95.9,96.0
Tamil Nadu,88.8,83.0,86.0,95.2,90.9,93.1,91.7,86.6,89.2
Telangana,94.2,89.0,91.6,96.8,90.9,93.9,95.3,89.8,92.6
Tripura,82.8,74.3,78.5,89.2,84.0,86.5,84.1,76.3,80.0
Uttar Pradesh,79.8,64.6,72.5,86.3,77.9,82.4,81.0,67.0,74.4
Uttarakhand,94.0,86.0,90.3,98.4,92.9,96.0,95.1,87.6,91.7
West Bengal,82.7,76.1,79.4,92.0,90.7,91.3,85.0,79.7,82.4
A & N Islands,94.0,91.7,93.0,97.6,92.8,95.1,95.3,92.1,93.8
Chandigarh,97.7,95.2,96.6,100.0,90.5,95.3,99.8,90.8,95.4
Dadra & Nagar Haveli,96.3,78.2,88.2,97.8,91.2,95.6,97.2,84.1,92.1
Jammu & Kashmir,90.0,81.5,86.0,93.9,91.8,93.0,90.7,83.2,87.2
Ladakh,94.7,83.5,89.1,95.1,96.4,95.7,94.7,85.5,90.1
Lakshadweep,87.1,73.9,81.9,100.0,100.0,100.0,96.5,95.7,96.1
Puducherry,91.8,94.4,93.1,98.0,96.8,97.4,95.9,95.9,95.9
all-India,85.7,74.7,80.4,93.4,87.8,90.8,87.9,78.3,83.3
