col1,col2,col3,col4,col5,col6,col7,col8,col9,col10
Andhra Pradesh,86.9,80.3,83.7,94.0,88.8,91.3,89.0,83.1,86.2
Arunachal Pradesh,71.1,69.3,70.2,81.0,78.2,79.6,72.8,70.8,71.8
Assam,82.1,72.9,77.4,93.2,88.8,90.9,83.2,74.5,78.7
Bihar,81.2,61.3,71.8,91.5,78.8,85.6,82.4,63.2,73.3
Chhattisgarh,80.9,67.0,73.9,92.6,89.8,91.2,83.0,70.9,77.0
Delhi,93.6,82.1,88.8,95.3,94.7,95.0,95.2,94.3,94.8
Goa,99.0,95.5,97.3,99.0,94.5,97.3,99.0,94.9,97.3
Gujarat,90.5,78.1,84.6,92.2,83.6,88.2,91.2,80.3,86.0
Haryana,95.7,89.3,92.8,94.1,85.2,90.1,95.1,87.6,91.7
Himachal Pradesh,94.6,91.7,93.1,93.4,92.4,93.0,94.4,91.8,93.1
Jharkhand,85.5,73.3,79.4,93.3,86.5,90.0,87.1,76.1,81.6
Karnataka,93.0,82.7,88.1,96.5,91.1,93.8,94.3,85.9,90.2
Kerala,98.8,97.8,98.3,99.2,98.7,99.0,99.0,98.2,98.6
Madhya Pradesh,87.2,74.6,81.1,93.9,87.2,90.7,88.8,77.5,83.4
Maharashtra,93.0,81.1,87.5,97.2,92.9,95.2,94.9,86.3,90.9
Manipur,94.5,90.6,92.6,97.2,96.0,96.6,95.3,92.3,93.8
Meghalaya,85.5,81.3,83.4,95.6,92.1,93.8,87.2,83.2,85.2
Mizoram,96.4,95.2,95.8,99.1,99.2,99.2,97.7,97.1,97.4
Nagaland,90.6,88.6,89.5,99.1,97.5,98.3,93.7,91.7,92.7
Odisha,81.6,67.8,74.7,92.2,83.1,87.3,83.1,70.3,76.7
Punjab,90.9,87.2,89.2,92.7,88.3,90.8,91.6,87.7,89.9
Rajasthan,87.2,69.7,78.7,92.1,82.5,87.6,88.5,73.1,81.1
Sikkim,96.1,97.1,96.6,97.6,97.2,97.4,96.5,97.2,96.8
Tamil Nadu,90.1,81.2,85.8,95.3,91.5,93.5,92.5,85.8,89.3
Telangana,94.5,86.7,90.6,97.3,91.9,94.7,95.8,89.1,92.5
Tripura,83.8,71.7,77.4,91.4,84.8,87.9,85.2,74.2,79.5
Uttar Pradesh,79.3,63.9,71.9,87.4,78.0,83.0,81.0,66.6,74.1
Uttarakhand,93.5,86.2,90.0,96.8,91.6,94.5,94.3,87.5,91.1
West Bengal,81.9,71.1,76.4,92.1,88.0,90.0,84.4,75.4,79.9
A & N Islands,94.0,87.5,91.2,94.0,93.2,93.6,94.0,90.3,92.3
Chandigarh,96.9,94.2,95.7,100.0,88.4,93.8,99.7,88.8,94.0
Dadra & Nagar Haveli,96.0,75.7,86.8,96.0,87.2,92.9,96.0,81.3,90.1
Jammu & Kashmir,90.4,78.7,84.7,93.7,90.7,92.4,91.0,80.6,86.0
Ladakh,96.4,81.9,89.1,96.1,97.5,96.8,96.4,84.2,90.2
Lakshadweep,90.7,84.6,87.8,98.9,96.6,97.8,97.1,94.0,95.6
Puducherry,94.6,93.5,94.0,98.4,96.4,97.5,97.1,95.2,96.2
all-India,85.7,72.8,79.4,93.8,87.8,91.0,88.1,77.1,82.8
