col1,col2,col3,col4,col5,col6,col7,col8,col9,col10
Andhra Pradesh,60427,64953,62735,59495,48887,54058,60144,60043,60092
Arunachal Pradesh,5337,2800,4087,9018,4218,6705,5991,3043,4544
Assam,12209,7075,9677,19357,6548,13028,13092,7010,10092
Bihar,14548,5217,10068,12331,4185,8495,14306,5108,9899
Chhattisgarh,9202,4028,6609,8045,3241,5667,8972,3875,6424
Delhi,8504,1356,5409,13302,2223,8336,13155,2198,8249
Goa,4191,120,2197,4144,375,2388,4161,277,2317
Gujarat,17694,3395,10674,18147,3161,10880,17888,3296,10761
Haryana,21423,5129,13599,12961,4704,9145,18115,4970,11894
Himachal Pradesh,12045,3065,7342,9960,2899,6673,11789,3049,7268
Jharkhand,12088,10156,11125,10062,4819,7507,11621,8968,10305
Karnataka,47931,27303,37422,45425,18161,31964,47021,24116,35480
Kerala,39328,29152,33890,41060,27314,33824,40147,28298,33859
Madhya Pradesh,19420,3006,11459,18342,3956,11295,19145,3252,11417
Maharashtra,21645,7643,14756,14369,3381,9113,18377,5786,12258
Manipur,14242,7229,10741,13002,5994,9467,13831,6814,10315
Meghalaya,4354,1198,2754,6395,2922,4484,4724,1558,3092
Mizoram,12111,4002,8115,13170,7716,10402,12576,5687,9136
Nagaland,18911,7400,13269,21494,5128,13556,19722,6697,13358
Odisha,20722,20593,20657,21633,10748,16162,20864,19053,19956
Punjab,20673,5604,13430,15370,3360,9711,18527,4716,11941
Rajasthan,23675,5161,14408,16492,5275,11070,21629,5192,13480
Sikkim,9048,4315,6770,5807,1955,4037,8188,3728,6066
Tamil Nadu,45320,33494,39234,41023,22043,31455,43347,28355,35703
Telangana,61765,39265,50289,44829,17031,31309,54538,30287,42407
Tripura,23299,14982,19104,23952,13204,18466,23441,14588,18964
Uttar Pradesh,21230,3049,12257,17914,2088,10319,20509,2849,11844
Uttarakhand,16857,2393,9739,14608,2013,8568,16285,2300,9447
West Bengal,14044,12314,13193,15820,8760,12291,14555,11268,12931
A & N Islands,19490,3424,11832,25776,7336,16618,22184,5177,13928
Chandigarh,7085,3137,5307,6775,1043,3980,6795,1164,4062
Dadra & Nagar,5563,195,3081,7470,712,4777,6688,467,4035
Jammu & Kashmir,23957,1588,12949,21422,1390,11969,23461,1552,12764
Ladakh,18186,1219,9916,16021,146,7798,17890,1056,9611
Lakshadweep,31391,2125,17484,20191,2394,11547,22568,2338,12787
Puducherry,29711,21491,25446,27365,16593,21820,28131,18210,23011
all-India,24322,13016,18714,23975,10584,17442,24214,12275,18322
