col1,col2,col3,col4,col5,col6,col7,col8,col9,col10
Andhra Pradesh,93.0,95.2,94.0,97.7,96.7,97.2,94.4,95.7,95.1
Arunachal Pradesh,87.7,85.0,86.4,90.3,88.6,89.4,88.1,85.6,86.9
Assam,94.6,89.5,92.0,97.5,96.7,97.1,94.9,90.2,92.5
Bihar,94.2,86.9,90.7,95.8,91.3,93.7,94.4,87.4,91.1
Chhattisgarh,92.1,82.6,87.3,96.5,95.0,95.8,92.9,84.7,88.8
Delhi,98.5,92.3,95.9,98.7,97.8,98.3,98.7,97.6,98.3
Goa,99.6,99.5,99.5,100.0,99.7,99.9,99.9,99.6,99.8
Gujarat,97.2,89.5,93.6,96.0,91.5,93.9,96.8,90.3,93.7
Haryana,97.3,93.9,95.8,94.8,87.9,91.7,96.3,91.5,94.2
Himachal Pradesh,97.1,97.0,97.1,97.0,98.7,97.7,97.1,97.2,97.1
Jharkhand,97.2,93.9,95.6,97.6,95.3,96.5,97.3,94.2,95.8
Karnataka,98.7,98.0,98.4,98.8,97.0,97.9,98.7,97.6,98.2
Kerala,99.2,98.8,99.0,99.3,99.3,99.3,99.2,99.0,99.1
Madhya Pradesh,97.3,92.1,94.8,97.8,96.5,97.2,97.4,93.2,95.4
Maharashtra,97.6,91.4,94.7,98.3,96.4,97.4,97.9,93.6,95.9
Manipur,97.8,96.4,97.1,98.3,98.3,98.3,97.9,97.0,97.4
Meghalaya,87.7,85.4,86.5,96.1,93.6,94.8,89.1,86.8,87.9
Mizoram,96.2,96.4,96.3,99.2,98.8,99.0,97.6,97.5,97.6
Nagaland,96.2,97.7,97.0,99.2,99.8,99.5,97.3,98.5,97.9
Odisha,94.4,88.9,91.7,96.7,90.8,93.5,94.8,89.2,92.0
Punjab,96.7,95.9,96.4,97.3,95.0,96.3,97.0,95.6,96.3
Rajasthan,96.8,90.3,93.6,96.6,91.4,94.2,96.7,90.6,93.8
Sikkim,98.1,98.1,98.1,99.0,98.4,98.7,98.3,98.2,98.3
Tamil Nadu,98.7,97.8,98.3,98.3,97.8,98.0,98.5,97.8,98.2
Telangana,98.5,96.1,97.3,98.8,97.3,98.1,98.6,96.6,97.6
Tripura,91.0,88.4,89.6,95.3,91.5,93.3,91.8,89.0,90.4
Uttar Pradesh,94.4,86.3,90.5,96.1,91.1,93.7,94.8,87.2,91.1
Uttarakhand,98.0,92.4,95.4,98.3,93.1,95.9,98.1,92.5,95.5
West Bengal,96.6,91.9,94.2,98.0,98.1,98.0,96.9,93.4,95.2
A & N Islands,99.7,98.6,99.2,98.7,99.9,99.3,99.3,99.2,99.2
Chandigarh,99.3,98.8,99.1,100.0,100.0,100.0,99.9,99.9,99.9
Dadra & Nagar Haveli,97.2,87.2,92.7,97.7,91.4,95.5,97.5,89.2,94.2
Jammu & Kashmir,94.9,90.8,92.9,98.3,95.0,96.9,95.5,91.5,93.6
Ladakh,92.8,89.1,90.9,91.9,94.4,93.2,92.7,89.9,91.2
Lakshadweep,96.3,90.8,93.7,97.9,93.2,95.6,97.6,92.7,95.2
Puducherry,99.0,99.3,99.1,98.5,98.5,98.5,98.7,98.8,98.7
all-India,95.9,90.5,93.3,97.5,95.0,96.3,96.4,91.8,94.2
