col1,col2,col3,col4,col5,col6,col7,col8,col9,col10
Andhra Pradesh,90.9,77.5,84.2,96.5,87.2,91.7,92.6,80.5,86.5
Arunachal Pradesh,79.7,69.6,74.8,89.3,82.4,86.0,81.5,71.8,76.8
Assam,87.2,78.5,82.9,94.9,89.1,92.0,88.2,79.8,84.0
Bihar,91.2,77.1,84.5,94.6,84.5,89.9,91.6,77.9,85.0
Chhattisgarh,79.1,62.7,70.9,93.3,84.4,88.9,81.9,66.9,74.4
Delhi,96.5,85.2,91.6,98.5,93.4,96.2,98.5,93.2,96.1
Goa,95.1,84.8,90.1,97.8,87.9,93.2,96.8,86.7,92.0
Gujarat,91.0,71.7,81.5,96.3,86.6,91.6,93.2,77.9,85.8
Haryana,92.7,76.1,84.8,95.3,81.0,88.7,93.7,77.9,86.3
Himachal Pradesh,95.8,88.9,92.2,97.4,93.3,95.5,96.0,89.3,92.6
Jharkhand,87.3,74.6,81.0,93.9,84.4,89.3,88.8,76.7,82.8
Karnataka,92.6,82.3,87.4,97.2,89.5,93.4,94.3,84.8,89.5
Kerala,95.3,90.8,92.9,96.3,91.9,94.0,95.8,91.3,93.4
Madhya Pradesh,87.6,70.4,79.3,94.9,83.5,89.3,89.5,73.8,81.9
Maharashtra,89.8,73.0,81.6,97.3,90.7,94.2,93.2,80.7,87.2
Manipur,93.6,89.5,91.6,95.5,92.0,93.8,94.2,90.4,92.3
Meghalaya,89.7,85.3,87.5,96.6,92.1,94.2,90.9,86.7,88.7
Mizoram,95.0,93.3,94.1,98.7,97.7,98.2,96.6,95.3,96.0
Nagaland,87.8,84.1,86.0,98.2,95.8,97.0,91.1,87.8,89.5
Odisha,83.4,70.2,76.8,89.9,79.3,84.6,84.4,71.6,78.0
Punjab,92.2,80.6,86.6,96.3,88.9,92.8,93.8,83.9,89.1
Rajasthan,91.6,70.8,81.3,96.0,82.5,89.5,92.9,73.9,83.5
Sikkim,94.8,91.7,93.3,96.7,94.2,95.6,95.3,92.3,93.9
Tamil Nadu,94.9,87.9,91.3,97.4,93.2,95.3,96.1,90.3,93.1
Telangana,95.3,86.3,90.7,97.8,91.1,94.5,96.4,88.2,92.3
Tripura,86.0,75.3,80.7,92.2,83.1,87.6,87.3,77.0,82.2
Uttar Pradesh,90.0,76.1,83.2,94.4,85.2,90.0,91.0,77.9,84.6
Uttarakhand,94.8,82.3,88.7,97.8,90.0,94.1,95.6,84.2,90.1
West Bengal,93.0,85.6,89.4,96.4,90.8,93.6,94.0,87.1,90.6
A & N Islands,94.7,93.9,94.3,97.4,96.8,97.1,95.8,95.2,95.5
Chandigarh,97.5,91.2,94.7,100.0,86.7,93.5,99.8,87.0,93.5
Dadra & Nagar Haveli,88.1,66.0,77.7,95.5,82.1,90.3,92.4,74.1,84.7
Jammu & Kashmir,90.8,72.4,81.8,96.1,84.9,90.8,91.8,74.7,83.5
Ladakh,91.5,79.5,85.7,93.0,84.0,88.4,91.7,80.2,86.1
Lakshadweep,94.8,86.9,91.1,98.3,83.3,90.9,97.5,84.0,90.9
Puducherry,98.3,92.4,95.3,97.1,90.2,93.6,97.5,90.9,94.1
all-India,90.5,77.3,83.9,96.2,88.3,92.4,92.2,80.6,86.5
