col1,col2,col3,col4,col5,col6,col7,col8,col9,col10
Andhra Pradesh,93.1,81.8,87.8,95.0,89.2,92.0,93.7,84.3,89.1
Arunachal Pradesh,75.9,73.8,74.8,82.8,80.4,81.6,77.1,74.9,76.0
Assam,83.8,74.9,79.3,93.8,89.4,91.5,84.8,76.4,80.5
Bihar,82.7,64.3,74.0,91.7,79.4,86.0,83.7,65.9,75.3
Chhattisgarh,83.1,69.1,76.1,93.2,91.1,92.2,84.9,72.9,78.9
Delhi,93.7,82.8,89.2,95.3,94.8,95.1,95.2,94.4,94.9
Goa,99.1,95.5,97.4,99.0,94.5,97.3,99.1,94.9,97.4
Gujarat,91.3,80.7,86.3,93.3,84.5,89.1,92.1,82.2,87.4
Haryana,96.3,90.8,93.8,94.6,86.2,90.8,95.6,89.0,92.6
Himachal Pradesh,95.2,92.7,94.0,93.9,92.6,93.4,95.0,92.7,93.9
Jharkhand,86.2,75.0,80.7,93.5,87.1,90.3,87.8,77.5,82.7
Karnataka,93.9,84.4,89.4,97.0,92.6,94.8,95.0,87.6,91.4
Kerala,99.0,98.2,98.6,99.5,98.9,99.2,99.3,98.5,98.9
Madhya Pradesh,88.8,77.0,83.1,94.6,88.7,91.8,90.2,79.8,85.2
Maharashtra,93.9,83.2,88.9,97.5,93.9,95.8,95.5,87.9,92.0
Manipur,96.9,95.1,96.0,97.6,97.3,97.5,97.1,95.8,96.5
Meghalaya,87.5,84.0,85.8,96.0,92.9,94.4,88.9,85.6,87.2
Mizoram,96.4,95.3,95.8,99.1,99.2,99.2,97.7,97.1,97.4
Nagaland,93.1,90.0,91.5,99.6,97.7,98.7,95.5,92.7,94.1
Odisha,83.6,70.8,77.2,93.2,85.4,89.0,85.0,73.2,79.1
Punjab,91.3,87.9,89.8,94.0,89.5,92.0,92.4,88.5,90.7
Rajasthan,88.1,71.5,80.1,93.8,86.0,90.1,89.7,75.4,82.9
Sikkim,96.7,97.1,96.9,98.3,97.2,97.8,97.1,97.2,97.1
Tamil Nadu,91.1,82.5,86.9,96.0,92.9,94.6,93.4,87.2,90.4
Telangana,95.4,88.3,91.8,98.1,94.2,96.2,96.7,91.0,93.8
Tripura,87.2,79.4,83.1,92.2,88.6,90.3,88.2,81.2,84.5
Uttar Pradesh,80.5,65.6,73.2,88.0,79.2,83.9,82.0,68.2,75.4
Uttarakhand,94.4,87.2,91.0,97.6,92.7,95.4,95.2,88.5,92.1
West Bengal,82.6,72.2,77.4,92.5,88.3,90.4,85.1,76.3,80.6
A & N Islands,94.5,87.7,91.5,94.0,93.2,93.6,94.3,90.4,92.5
Chandigarh,96.9,94.2,95.7,100.0,88.4,93.8,99.7,88.8,94.0
Dadra & Nagar Haveli,96.4,86.5,91.9,96.0,87.2,92.9,96.2,86.8,92.4
Jammu & Kashmir,91.9,80.8,86.5,94.5,91.6,93.2,92.4,82.4,87.6
Ladakh,96.4,81.9,89.1,96.1,97.5,96.8,96.4,84.2,90.2
Lakshadweep,91.9,87.6,89.9,98.9,96.6,97.8,97.3,94.7,96.0
Puducherry,95.6,93.5,94.5,98.4,97.6,98.0,97.4,95.9,96.7
all-India,87.0,74.8,81.1,94.5,89.0,91.9,89.2,78.8,84.2
