col1,col2,col3,col4,col5
Andhra Pradesh,60.8,48.1,55.9,32.5
Arunachal Pradesh,72.6,39.4,43.0,26.2
Assam,60.7,50.5,31.5,22.7
Bihar,67.7,54.7,33.8,26.3
Chhattisgarh,54.4,38.0,17.1,10.8
Delhi,81.5,71.4,63.9,51.2
Goa,89.5,81.5,59.5,53.7
Gujarat,56.1,48.5,31.9,20.1
Haryana,70.8,44.7,45.2,31.4
Himachal Pradesh,94.8,67.1,43.3,39.6
Jharkhand,58.3,43.9,26.7,17.3
Karnataka,77.7,60.1,50.4,35.5
Kerala,91.3,75.1,60.8,51.0
Madhya Pradesh,58.3,37.7,31.6,20.7
Maharashtra,77.9,62.0,52.5,40.1
Manipur,66.0,60.4,38.0,29.9
Meghalaya,45.2,42.7,14.1,6.3
Mizoram,88.2,48.7,37.7,32.4
Nagaland,90.6,62.2,38.4,32.6
Odisha,56.0,41.9,30.9,20.2
Punjab,69.3,49.5,35.2,27.3
Rajasthan,61.9,41.9,35.4,25.3
Sikkim,79.3,69.7,60.6,46.2
Tamil Nadu,75.0,70.7,57.7,43.6
Telangana,77.9,63.2,62.2,45.0
Tripura,63.5,38.8,14.1,7.5
Uttar Pradesh,47.2,36.5,23.7,15.2
Uttarakhand,63.0,43.7,38.3,26.0
West Bengal,59.7,40.9,22.7,17.1
A & N Islands,83.7,37.4,39.9,23.3
Chandigarh,62.8,66.9,82.9,52.3
Dadra & Nagar Haveli,78.7,40.1,43.2,29.7
Jammu & Kashmir,76.8,55.6,32.0,23.5
Ladakh,86.7,79.6,48.7,36.2
Lakshadweep,89.7,89.6,63.3,57.8
Puducherry,93.3,83.4,57.0,50.9
all-India,64.1,49.5,37.5,26.8
