col1,col2,col3,col4,col5,col6,col7,col8,col9,col10
Andhra Pradesh,88.8,76.1,82.4,96.0,86.8,91.3,90.9,79.4,85.1
Arunachal Pradesh,78.8,68.7,73.9,88.6,81.3,85.1,80.6,70.9,75.8
Assam,86.3,75.4,81.0,94.6,88.4,91.5,87.3,77.0,82.3
Bihar,90.2,74.8,82.8,93.7,82.2,88.3,90.6,75.6,83.4
Chhattisgarh,76.9,58.9,67.9,92.8,83.2,88.1,80.0,63.5,71.8
Delhi,96.4,84.6,91.2,98.5,93.3,96.1,98.4,93.1,96.0
Goa,94.9,84.8,90.0,97.8,87.9,93.2,96.7,86.7,92.0
Gujarat,90.6,71.0,81.0,95.8,86.1,91.1,92.8,77.3,85.3
Haryana,92.0,74.9,83.8,94.5,80.4,88.0,93.0,77.0,85.4
Himachal Pradesh,95.6,88.7,92.0,97.1,93.1,95.3,95.8,89.1,92.4
Jharkhand,87.0,73.7,80.4,93.6,84.2,89.0,88.5,76.0,82.3
Karnataka,92.5,81.9,87.1,96.9,88.7,92.8,94.0,84.3,89.2
Kerala,94.8,90.3,92.4,96.0,91.4,93.6,95.4,90.8,93.0
Madhya Pradesh,87.1,69.5,78.6,94.3,83.2,88.9,88.9,73.0,81.2
Maharashtra,88.9,71.1,80.2,96.9,89.7,93.5,92.5,79.2,86.1
Manipur,93.6,89.4,91.5,95.5,92.0,93.7,94.2,90.3,92.2
Meghalaya,85.1,78.3,81.6,95.0,89.3,91.9,86.8,80.6,83.6
Mizoram,94.5,93.0,93.8,98.4,97.3,97.8,96.2,95.0,95.6
Nagaland,86.8,82.9,84.9,97.9,95.7,96.8,90.3,86.9,88.7
Odisha,82.4,68.6,75.5,89.5,78.5,84.0,83.5,70.1,76.8
Punjab,91.4,79.8,85.8,95.4,87.3,91.6,93.0,82.8,88.1
Rajasthan,91.1,69.8,80.5,95.6,81.3,88.8,92.4,72.9,82.8
Sikkim,94.7,91.5,93.2,96.7,94.2,95.6,95.3,92.2,93.8
Tamil Nadu,94.5,87.2,90.8,97.1,92.5,94.7,95.6,89.6,92.6
Telangana,94.8,84.3,89.4,97.4,89.9,93.8,95.9,86.5,91.2
Tripura,85.2,74.1,79.6,91.9,82.4,87.0,86.6,75.9,81.2
Uttar Pradesh,88.3,71.1,79.9,93.8,83.1,88.7,89.5,73.6,81.7
Uttarakhand,94.3,79.7,87.2,96.1,87.3,91.9,94.8,81.5,88.3
West Bengal,91.6,81.2,86.5,95.9,89.7,92.8,92.8,83.7,88.3
A & N Islands,94.6,93.6,94.1,97.4,96.4,96.9,95.8,94.8,95.3
Chandigarh,97.4,91.0,94.5,100.0,86.7,93.5,99.8,87.0,93.5
Dadra & Nagar Haveli,87.4,64.4,76.5,95.2,81.9,90.0,91.9,73.2,84.0
Jammu & Kashmir,90.0,70.1,80.2,95.5,83.4,89.8,91.0,72.5,82.0
Ladakh,90.2,78.6,84.5,91.6,82.7,87.0,90.4,79.3,84.9
Lakshadweep,94.4,85.9,90.4,97.8,82.0,90.0,97.0,82.8,90.1
Puducherry,98.0,92.4,95.1,96.9,90.1,93.4,97.3,90.9,94.0
all-India,89.5,74.9,82.3,95.8,87.3,91.7,91.4,78.7,85.1
