col1,col2,col3,col4,col5
Andhra Pradesh,57.1,43.6,52.5,28.0
Arunachal Pradesh,70.9,37.0,39.1,24.8
Assam,58.8,47.5,27.9,19.4
Bihar,66.9,53.5,31.9,24.3
Chhattisgarh,51.6,33.0,12.9,7.2
Delhi,69.2,56.8,50.4,32.6
Goa,92.9,76.5,57.8,53.5
Gujarat,51.6,41.1,26.9,15.0
Haryana,68.9,42.1,41.8,28.4
Himachal Pradesh,95.0,66.1,41.3,37.5
Jharkhand,54.6,39.2,20.5,11.7
Karnataka,75.1,53.4,44.4,28.8
Kerala,91.6,73.9,56.7,47.4
Madhya Pradesh,54.7,31.6,24.5,14.4
Maharashtra,77.4,56.8,46.8,34.9
Manipur,63.4,56.0,35.5,27.8
Meghalaya,39.9,39.9,10.3,3.0
Mizoram,86.7,41.6,28.7,24.4
Nagaland,90.6,54.6,26.3,22.6
Odisha,52.0,37.8,28.3,16.6
Punjab,70.2,47.2,28.3,22.4
Rajasthan,57.8,35.9,30.5,19.9
Sikkim,77.6,67.8,56.2,41.7
Tamil Nadu,72.7,65.8,51.8,38.9
Telangana,76.8,55.8,56.8,40.9
Tripura,66.2,35.3,10.2,5.9
Uttar Pradesh,45.3,32.6,19.1,12.0
Uttarakhand,60.0,40.9,36.8,23.4
West Bengal,57.2,36.8,19.2,13.2
A & N Islands,78.6,32.7,30.9,17.8
Chandigarh,70.9,65.9,74.1,53.5
Dadra & Nagar Haveli,84.6,34.1,40.8,23.7
Jammu & Kashmir,75.6,50.4,27.4,18.8
Ladakh,87.0,78.2,43.0,30.8
Lakshadweep,81.3,80.7,69.8,64.5
Puducherry,96.3,88.1,56.2,53.4
all-India,60.4,43.6,31.0,21.0
