col1,col2,col3,col4,col5,col6,col7,col8,col9,col10
Andhra Pradesh,59.0,41.1,50.0,77.1,61.1,68.9,64.4,47.3,55.8
Arunachal Pradesh,62.3,53.0,57.8,75.9,68.2,72.2,64.8,55.6,60.3
Assam,62.0,49.4,55.8,75.9,67.0,71.5,63.7,51.6,57.7
Bihar,60.2,40.8,50.9,74.5,57.4,66.6,61.8,42.5,52.6
Chhattisgarh,58.4,41.3,49.9,80.1,68.6,74.4,62.6,46.5,54.6
Delhi,80.4,63.9,73.2,88.0,79.2,84.1,87.8,78.7,83.7
Goa,73.7,56.5,65.3,87.6,68.9,79.0,82.6,64.1,73.9
Gujarat,71.9,54.3,63.3,84.3,70.8,77.8,77.2,61.2,69.4
Haryana,72.8,53.9,63.8,84.0,66.5,75.9,77.2,58.7,68.5
Himachal Pradesh,73.1,58.8,65.7,84.8,77.5,81.4,74.6,60.6,67.5
Jharkhand,61.8,46.0,54.0,78.9,66.6,73.0,65.7,50.5,58.2
Karnataka,66.0,46.2,56.0,83.9,69.7,76.8,72.4,54.4,63.4
Kerala,73.8,64.2,68.7,78.6,69.1,73.6,76.1,66.4,71.0
Madhya Pradesh,61.5,44.9,53.5,78.6,65.2,72.0,65.9,50.1,58.2
Maharashtra,67.2,47.4,57.5,89.2,76.8,83.3,77.0,60.2,68.9
Manipur,85.3,78.1,81.7,90.5,84.7,87.6,87.0,80.3,83.7
Meghalaya,72.7,66.4,69.5,90.0,81.8,85.5,75.8,69.5,72.6
Mizoram,91.2,88.7,89.9,97.3,96.6,96.9,93.9,92.3,93.1
Nagaland,66.0,60.2,63.2,89.7,83.6,86.7,73.6,67.6,70.6
Odisha,54.6,40.0,47.3,72.4,59.9,66.2,57.3,43.1,50.2
Punjab,68.4,56.2,62.5,78.6,68.9,74.1,72.5,61.2,67.2
Rajasthan,65.4,41.9,53.7,83.4,65.5,74.9,70.5,48.3,59.6
Sikkim,80.4,75.9,78.2,91.4,87.1,89.4,83.3,78.7,81.1
Tamil Nadu,57.0,41.5,49.0,74.1,60.0,67.0,64.8,49.7,57.1
Telangana,63.0,47.0,54.8,86.3,71.1,78.9,73.0,56.7,64.8
Tripura,69.2,56.5,62.8,80.2,67.6,73.8,71.6,58.9,65.2
Uttar Pradesh,57.1,41.5,49.4,73.6,60.6,67.4,60.6,45.4,53.2
Uttarakhand,71.8,54.6,63.4,84.3,72.2,78.6,75.0,58.9,67.2
West Bengal,53.4,40.6,47.1,70.8,59.8,65.3,58.4,46.2,52.4
A & N Islands,60.7,54.5,57.8,75.6,68.5,72.1,67.1,60.8,64.0
Chandigarh,83.6,72.5,78.6,92.8,64.8,79.0,92.2,65.3,79.0
Dadra & Nagar Haveli,79.4,60.1,70.3,89.9,70.8,82.5,85.6,65.5,77.0
Jammu & Kashmir,69.7,50.0,60.1,81.6,68.4,75.3,72.0,53.3,62.9
Ladakh,76.3,57.4,67.0,86.0,76.0,80.9,77.6,60.2,69.1
Lakshadweep,75.6,62.1,69.2,72.8,59.5,66.2,73.4,60.0,66.9
Puducherry,77.0,65.4,71.0,84.4,69.5,76.8,81.9,68.1,74.8
all-India,61.8,45.2,53.6,80.5,67.2,74.0,67.6,51.8,59.8
