col1,col2,col3,col4,col5
Andhra Pradesh,68.3,57.3,62.9,41.8
Arunachal Pradesh,79.8,49.7,59.5,32.4
Assam,75.9,74.4,59.8,48.8
Bihar,73.2,63.1,47.9,40.5
Chhattisgarh,66.8,60.0,36.1,27.0
Delhi,81.9,71.8,64.3,51.8
Goa,87.3,84.6,60.6,53.8
Gujarat,63.4,60.5,39.9,28.3
Haryana,73.9,48.9,50.9,36.2
Himachal Pradesh,93.6,75.3,59.9,56.6
Jharkhand,71.7,61.1,49.1,37.7
Karnataka,82.3,71.9,61.1,47.3
Kerala,91.0,76.5,65.9,55.5
Madhya Pradesh,69.4,56.4,53.5,40.2
Maharashtra,78.6,68.5,59.6,46.5
Manipur,72.2,71.0,44.0,35.0
Meghalaya,68.1,54.8,30.4,21.1
Mizoram,89.8,56.2,47.2,41.0
Nagaland,90.5,73.0,55.7,47.0
Odisha,75.5,62.1,43.6,38.2
Punjab,67.9,52.8,45.0,34.4
Rajasthan,72.0,56.7,47.3,38.8
Sikkim,84.7,75.9,75.2,60.7
Tamil Nadu,77.6,76.3,64.3,48.9
Telangana,79.2,72.3,68.8,50.0
Tripura,53.0,52.3,28.8,13.8
Uttar Pradesh,54.6,51.5,41.3,27.5
Uttarakhand,71.7,51.6,42.8,33.8
West Bengal,66.2,51.8,32.0,27.1
A & N Islands,91.4,44.6,53.6,31.6
Chandigarh,62.1,67.0,83.7,52.1
Dadra & Nagar Haveli,73.6,45.3,45.3,35.0
Jammu & Kashmir,82.5,79.4,53.1,45.3
Ladakh,85.3,86.7,77.9,63.6
Lakshadweep,91.7,91.7,61.7,56.2
Puducherry,91.7,80.9,57.5,49.5
all-India,72.4,62.9,52.6,40.2
