col1,col2,col3,col4,col5,col6,col7,col8,col9,col10
Andhra Pradesh,93.9,85.2,90.0,96.3,91.2,93.7,94.6,87.3,91.1
Arunachal Pradesh,70.7,71.7,71.2,78.9,78.0,78.5,72.1,72.8,72.5
Assam,83.5,75.7,79.6,93.5,89.8,91.7,84.5,77.1,80.8
Bihar,82.8,66.5,75.2,91.9,80.3,86.7,83.8,67.9,76.4
Chhattisgarh,83.8,72.2,78.1,91.3,91.4,91.4,85.0,75.3,80.2
Delhi,94.7,85.2,90.6,94.8,94.3,94.6,94.8,94.0,94.5
Goa,99.1,97.4,98.3,98.1,98.1,98.1,98.5,97.8,98.2
Gujarat,91.3,82.2,87.0,92.6,83.6,88.4,91.8,82.7,87.5
Haryana,96.8,92.1,94.7,94.0,85.1,90.1,95.7,89.4,92.9
Himachal Pradesh,94.1,91.9,93.0,93.4,93.0,93.2,94.0,92.0,93.0
Jharkhand,86.3,78.1,82.3,92.4,87.5,90.0,87.5,80.0,83.8
Karnataka,94.0,87.4,91.0,97.2,92.8,95.1,95.1,89.4,92.4
Kerala,98.8,98.6,98.7,99.5,99.1,99.3,99.1,98.8,99.0
Madhya Pradesh,89.9,79.3,84.8,94.7,89.1,92.1,91.0,81.5,86.5
Maharashtra,94.0,86.6,90.5,97.3,93.8,95.8,95.5,89.6,92.8
Manipur,96.9,95.6,96.3,98.0,96.9,97.4,97.2,96.0,96.6
Meghalaya,87.4,83.9,85.6,95.0,91.5,93.1,88.7,85.3,86.9
Mizoram,96.0,95.1,95.6,98.8,98.9,98.9,97.4,96.9,97.1
Nagaland,91.4,91.4,91.4,99.6,99.4,99.5,94.7,94.5,94.6
Odisha,84.1,73.9,79.0,93.0,85.4,89.0,85.4,75.8,80.6
Punjab,92.0,90.0,91.1,95.8,92.7,94.5,93.6,91.1,92.5
Rajasthan,88.1,73.7,81.1,93.1,86.7,90.2,89.5,77.1,83.6
Sikkim,96.5,95.8,96.1,98.1,96.2,97.2,96.9,95.9,96.4
Tamil Nadu,90.0,84.2,87.2,96.0,92.9,94.5,92.7,88.1,90.5
Telangana,95.5,90.4,92.9,97.9,94.6,96.3,96.6,92.2,94.4
Tripura,86.6,81.7,84.0,90.1,87.7,88.8,87.2,82.9,85.0
Uttar Pradesh,80.9,66.3,73.9,86.9,78.7,83.1,82.1,68.6,75.6
Uttarakhand,94.9,87.1,91.2,98.8,93.4,96.5,95.9,88.6,92.5
West Bengal,83.4,77.2,80.3,92.2,91.0,91.6,85.6,80.7,83.2
A & N Islands,94.7,91.7,93.3,97.6,92.8,95.1,95.7,92.1,94.0
Chandigarh,97.7,95.2,96.6,100.0,90.5,95.3,99.8,90.8,95.4
Dadra & Nagar Haveli,96.7,86.9,92.3,97.8,91.2,95.6,97.3,88.9,94.0
Jammu & Kashmir,92.1,83.1,87.9,94.5,92.6,93.7,92.5,84.7,88.9
Ladakh,94.7,83.5,89.1,95.1,96.4,95.7,94.7,85.5,90.1
Lakshadweep,88.8,79.8,85.2,100.0,100.0,100.0,97.0,96.7,96.8
Puducherry,93.3,94.4,93.9,98.0,97.0,97.5,96.4,96.0,96.2
all-India,87.1,76.6,82.1,94.1,89.2,91.8,89.1,80.0,84.8
