col1,col2,col3,col4,col5,col6,col7,col8,col9,col10
Andhra Pradesh,55.8,39.3,47.5,75.9,59.9,67.7,61.8,45.6,53.6
Arunachal Pradesh,57.4,49.0,53.3,73.9,65.4,69.8,60.3,51.8,56.2
Assam,57.1,44.8,51.1,72.4,64.0,68.3,59.0,47.2,53.2
Bihar,57.8,38.2,48.4,73.3,56.3,65.4,59.5,40.1,50.2
Chhattisgarh,56.0,39.4,47.7,78.6,66.7,72.7,60.4,44.6,52.6
Delhi,79.1,62.1,71.7,87.6,77.9,83.2,87.3,77.4,82.9
Goa,73.7,56.5,65.3,87.6,68.9,79.0,82.6,64.1,73.9
Gujarat,68.9,49.6,59.5,81.6,66.9,74.5,74.3,56.8,65.8
Haryana,71.6,52.4,62.5,82.3,63.8,73.8,75.8,56.8,66.8
Himachal Pradesh,71.4,56.4,63.7,81.8,74.1,78.2,72.7,58.2,65.3
Jharkhand,60.0,44.0,52.1,78.2,65.4,71.9,64.1,48.7,56.5
Karnataka,63.3,42.1,52.6,82.5,66.9,74.8,70.2,50.8,60.5
Kerala,73.0,63.5,68.0,77.8,68.4,72.9,75.3,65.8,70.2
Madhya Pradesh,58.7,42.2,50.7,76.7,63.1,70.1,63.3,47.5,55.7
Maharashtra,64.3,43.7,54.2,87.7,74.1,81.3,74.8,56.9,66.1
Manipur,81.3,72.0,76.7,85.8,78.5,82.1,82.8,74.2,78.5
Meghalaya,70.4,63.7,67.0,88.6,79.0,83.4,73.6,66.8,70.1
Mizoram,90.0,87.8,89.0,96.9,95.9,96.4,93.1,91.5,92.3
Nagaland,62.6,57.3,60.0,87.9,81.5,84.8,70.6,64.9,67.8
Odisha,51.4,37.7,44.5,69.9,57.4,63.6,54.2,40.8,47.5
Punjab,67.1,55.2,61.4,77.5,67.4,72.8,71.3,60.0,66.0
Rajasthan,63.4,39.7,51.6,81.0,61.2,71.5,68.4,45.5,57.1
Sikkim,79.4,75.2,77.4,90.0,86.6,88.5,82.2,78.0,80.2
Tamil Nadu,55.6,39.9,47.5,72.5,57.4,64.9,63.3,47.7,55.4
Telangana,62.0,45.6,53.6,84.7,68.5,76.8,71.7,54.8,63.3
Tripura,59.9,44.0,51.9,74.5,59.1,66.7,63.0,47.3,55.1
Uttar Pradesh,55.2,39.4,47.4,71.9,58.4,65.4,58.8,43.3,51.2
Uttarakhand,69.7,52.5,61.3,82.9,70.2,76.9,73.1,56.8,65.2
West Bengal,52.0,38.8,45.5,70.0,58.5,64.2,57.1,44.6,50.9
A & N Islands,60.6,53.9,57.4,75.6,68.0,71.8,67.0,60.2,63.7
Chandigarh,83.5,71.9,78.3,92.8,64.8,79.0,92.2,65.2,79.0
Dadra & Nagar Haveli,75.7,50.3,63.7,89.0,67.0,80.5,83.5,58.7,73.0
Jammu & Kashmir,66.6,45.8,56.4,79.4,65.7,73.0,69.0,49.4,59.5
Ladakh,73.7,55.7,65.0,85.6,75.9,80.6,75.4,58.8,67.2
Lakshadweep,75.0,60.9,68.4,72.8,58.8,65.9,73.3,59.2,66.4
Puducherry,75.5,61.8,68.5,83.1,65.7,74.2,80.5,64.4,72.3
all-India,59.5,42.6,51.2,78.9,64.8,72.0,65.5,49.3,57.5
