col1,col2,col3,col4,col5
Andhra Pradesh,64.0,53.4,67.2,37.4
Arunachal Pradesh,72.8,41.1,42.9,27.4
Assam,63.7,54.1,38.8,27.2
Bihar,70.4,60.0,43.6,33.4
Chhattisgarh,56.7,41.0,21.8,14.1
Delhi,79.8,70.0,68.6,51.8
Goa,86.4,78.7,64.6,57.5
Gujarat,60.4,56.0,42.8,25.6
Haryana,73.1,49.4,54.8,37.1
Himachal Pradesh,95.7,71.5,50.8,46.3
Jharkhand,61.3,50.7,36.1,22.9
Karnataka,79.4,60.9,55.8,37.8
Kerala,90.6,76.6,67.1,55.5
Madhya Pradesh,63.1,43.7,42.4,26.5
Maharashtra,79.9,64.8,60.5,44.3
Manipur,68.0,61.5,43.1,34.1
Meghalaya,45.9,44.5,16.5,6.6
Mizoram,88.8,48.2,36.2,30.6
Nagaland,90.7,60.7,40.1,33.0
Odisha,58.5,46.7,39.9,24.2
Punjab,70.1,52.6,42.9,31.8
Rajasthan,66.5,49.7,48.3,32.6
Sikkim,77.7,68.6,62.9,47.0
Tamil Nadu,74.6,72.6,65.2,48.0
Telangana,80.6,69.4,73.2,53.3
Tripura,63.1,44.2,19.1,10.2
Uttar Pradesh,51.6,42.4,31.9,20.5
Uttarakhand,68.6,50.8,46.9,31.5
West Bengal,60.6,43.7,28.3,20.1
A & N Islands,83.7,38.3,44.2,25.0
Chandigarh,48.8,64.4,98.6,47.4
Dadra & Nagar Haveli,77.8,39.7,44.9,27.6
Jammu & Kashmir,76.4,59.6,39.1,27.8
Ladakh,83.4,77.1,52.2,36.6
Lakshadweep,90.9,85.2,70.9,62.7
Puducherry,93.6,81.3,60.2,50.6
all-India,66.7,54.0,46.1,31.8
