col1,col2,col3,col4,col5
Andhra Pradesh,50.1,32.5,37.4,19.7
Arunachal Pradesh,71.0,34.8,41.0,23.4
Assam,51.6,39.5,16.6,12.1
Bihar,60.7,43.4,17.1,13.7
Chhattisgarh,47.3,26.4,7.7,3.9
Delhi,64.8,56.1,34.0,27.6
Goa,95.4,79.8,59.2,55.2
Gujarat,43.2,28.3,12.5,7.0
Haryana,61.4,32.9,28.1,19.6
Himachal Pradesh,90.0,60.6,34.3,31.1
Jharkhand,49.9,29.7,9.3,5.2
Karnataka,70.7,49.4,38.2,26.4
Kerala,90.7,70.7,54.8,45.3
Madhya Pradesh,45.9,21.6,10.3,7.1
Maharashtra,71.3,49.2,32.5,26.4
Manipur,59.2,52.0,29.8,22.4
Meghalaya,39.0,38.2,8.9,3.7
Mizoram,87.9,46.0,35.8,31.4
Nagaland,90.8,53.6,29.5,25.3
Odisha,44.7,30.1,16.4,11.1
Punjab,65.1,41.1,19.8,16.6
Rajasthan,50.6,23.7,12.3,9.4
Sikkim,74.4,63.7,56.9,41.1
Tamil Nadu,70.4,63.1,46.7,35.5
Telangana,71.5,45.4,41.8,29.4
Tripura,68.8,28.0,6.8,3.0
Uttar Pradesh,37.3,23.9,8.6,5.1
Uttarakhand,49.5,31.4,21.7,14.5
West Bengal,53.4,31.5,12.4,9.4
A & N Islands,77.6,35.6,24.9,17.7
Chandigarh,62.8,60.4,56.0,43.2
Dadra & Nagar Haveli,84.0,28.5,33.7,20.4
Jammu & Kashmir,74.5,43.7,19.9,14.5
Ladakh,89.7,74.1,35.7,25.8
Lakshadweep,83.0,75.1,46.4,38.5
Puducherry,94.2,87.8,63.8,59.7
all-India,54.8,35.8,20.2,14.5
