col1,col2,col3,col4,col5,col6,col7,col8,col9,col10
Andhra Pradesh,70.2,58.7,64.7,83.6,71.3,77.3,74.2,62.9,68.7
Arunachal Pradesh,42.3,38.0,40.2,56.3,49.2,52.8,44.7,39.9,42.3
Assam,73.4,60.8,66.9,87.4,79.2,83.1,74.7,62.7,68.6
Bihar,69.8,48.1,59.5,78.4,62.6,71.1,70.8,49.6,60.8
Chhattisgarh,73.7,57.7,65.7,88.1,84.1,86.1,76.3,62.2,69.2
Delhi,85.6,67.2,78.0,83.4,86.0,84.4,83.4,85.4,84.2
Goa,96.6,93.4,95.1,98.5,91.4,95.8,97.9,92.2,95.6
Gujarat,85.4,68.1,77.3,91.3,80.1,86.0,87.8,72.9,80.8
Haryana,89.3,77.4,84.0,78.1,70.8,74.8,84.9,74.8,80.4
Himachal Pradesh,93.6,85.0,89.3,91.5,87.7,89.9,93.4,85.2,89.4
Jharkhand,79.1,62.8,71.0,89.2,79.9,84.6,81.3,66.4,73.9
Karnataka,83.9,71.7,78.1,90.9,84.6,87.7,86.4,76.7,81.7
Kerala,90.8,84.3,87.5,89.2,86.7,87.9,90.0,85.4,87.7
Madhya Pradesh,75.1,58.2,66.9,84.9,75.9,80.6,77.4,62.4,70.2
Maharashtra,87.0,71.7,79.9,92.5,87.3,90.1,89.5,78.6,84.5
Manipur,58.6,49.7,54.2,54.2,42.9,48.5,57.3,47.6,52.5
Meghalaya,49.7,46.1,47.9,66.5,63.2,64.8,52.4,49.2,50.8
Mizoram,79.7,76.5,78.1,78.3,75.8,77.0,79.0,76.2,77.6
Nagaland,77.7,71.1,74.3,74.6,73.4,74.0,76.6,71.9,74.2
Odisha,60.8,48.4,54.6,82.6,70.4,76.1,63.9,52.0,57.9
Punjab,81.1,75.1,78.4,79.3,69.0,74.7,80.4,72.7,76.9
Rajasthan,75.7,53.0,64.7,82.4,70.7,76.9,77.6,57.7,68.1
Sikkim,89.3,91.0,90.2,94.4,94.9,94.6,90.7,91.9,91.3
Tamil Nadu,80.4,66.0,73.4,90.5,83.6,87.2,85.1,73.8,79.7
Telangana,79.4,69.8,74.6,89.8,81.1,85.6,84.3,74.9,79.7
Tripura,31.5,23.2,27.1,58.2,49.0,53.4,36.6,28.2,32.2
Uttar Pradesh,62.3,44.3,53.6,76.3,61.1,69.2,65.2,47.6,56.7
Uttarakhand,69.5,56.6,63.4,76.8,70.4,73.9,71.3,59.9,66.0
West Bengal,65.6,54.8,60.2,81.8,74.8,78.3,69.7,59.8,64.7
A & N Islands,78.9,72.0,75.8,89.4,86.1,87.8,83.5,78.9,81.3
Chandigarh,90.6,82.0,86.6,74.9,83.9,79.7,76.4,83.8,80.3
Dadra & Nagar Haveli,95.3,83.7,90.0,95.4,84.8,91.6,95.4,84.2,90.9
Jammu & Kashmir,84.3,70.2,77.5,90.7,86.5,88.8,85.5,72.7,79.4
Ladakh,78.1,60.4,69.1,92.6,90.3,91.4,80.0,64.7,72.2
Lakshadweep,82.9,65.0,74.3,91.3,78.7,85.0,89.3,75.8,82.6
Puducherry,90.9,90.5,90.7,95.0,94.4,94.7,93.6,92.8,93.2
all-India,73.2,57.4,65.6,85.4,76.8,81.4,76.8,63.0,70.2
