col1,col2,col3,col4,col5
Andhra Pradesh,57.8,48.0,68.1,32.5
Arunachal Pradesh,72.0,37.0,43.6,25.5
Assam,60.8,51.5,37.5,24.5
Bihar,67.8,57.9,43.3,31.4
Chhattisgarh,53.9,35.9,17.4,10.7
Delhi,71.4,51.1,65.1,36.0
Goa,93.6,79.0,70.6,65.3
Gujarat,58.7,51.1,41.4,22.8
Haryana,70.6,49.8,58.0,37.3
Himachal Pradesh,96.2,67.7,49.6,45.3
Jharkhand,57.7,46.4,34.4,18.5
Karnataka,77.4,57.0,55.5,35.2
Kerala,89.1,74.7,69.8,54.7
Madhya Pradesh,59.0,37.2,37.9,20.5
Maharashtra,79.2,62.4,61.9,44.0
Manipur,65.8,58.0,42.8,33.2
Meghalaya,41.7,42.5,16.3,4.0
Mizoram,89.1,47.9,36.6,32.2
Nagaland,90.2,59.8,37.4,32.2
Odisha,52.0,42.9,39.4,20.8
Punjab,68.7,50.7,40.1,29.6
Rajasthan,63.3,46.6,50.1,30.9
Sikkim,74.9,62.8,63.4,44.3
Tamil Nadu,73.8,68.6,67.0,48.4
Telangana,79.5,62.4,77.2,52.4
Tripura,67.3,40.6,15.1,9.7
Uttar Pradesh,49.0,40.1,29.7,18.1
Uttarakhand,65.1,50.1,53.4,33.1
West Bengal,55.1,40.0,26.1,16.7
A & N Islands,77.7,37.7,45.3,26.8
Chandigarh,68.6,62.1,81.6,52.6
Dadra & Nagar Haveli,86.6,37.2,45.8,26.8
Jammu & Kashmir,76.5,53.8,39.8,26.7
Ladakh,83.9,71.1,50.3,32.6
Lakshadweep,86.0,85.9,79.6,69.6
Puducherry,95.2,87.5,68.6,63.4
all-India,62.9,49.6,43.8,28.1
