areaCode,year,ProcessingValue
ISR,2009,4072.598428
ISR,2010,4243.088067
ISR,2011,4540.413232
ISR,2012,4367.913861
ISR,2013,4730.340265
ISR,2014,4648.559114
ISR,2015,4450.198286
ISR,2016,4666.070216
ISR,2017,5193.335289
ISR,2018,5514.992589
ISR,2019,5649.969759
ISR,2020,5807.451293
ISR,2021,6086.634238
JPN,2000,84245.968932
JPN,2001,84608.489806
JPN,2002,86248.342327
JPN,2003,87440.331271
JPN,2004,88489.524473
JPN,2005,88650.204072
JPN,2006,88725.078969
JPN,2007,94835.351149
KAZ,2009,2909.26495
KAZ,2010,3245.303025
KAZ,2011,3217.61734
KAZ,2012,3357.775195
KAZ,2013,4051.870918
KAZ,2014,4468.794594
KAZ,2015,4461.778453
KAZ,2016,4352.887743
KAZ,2017,4556.637665
KAZ,2018,4426.047454
KAZ,2019,4730.26991
KAZ,2020,4919.581766
KAZ,2021,5151.175499
LAO,2015,391.57726
LAO,2016,403.878013
LAO,2017,421.765467
MYS,2005,4150.898992
MYS,2006,4281.45854
MYS,2007,4546.634867
MYS,2008,5670.285079
MYS,2009,5219.842709
MYS,2010,6042.074974
MYS,2011,6370.618862
MYS,2012,7227.174886
MYS,2013,7473.774805
MYS,2014,8835.646447
MYS,2015,7907.921974
MYS,2016,8255.100118
MYS,2017,8823.738589
MYS,2018,8756.684833
MYS,2019,8881.507353
MYS,2020,9479.399081
MYS,2021,10383.838331
MNG,2003,142.625056
MNG,2004,159.635266
MNG,2005,135.83766
MNG,2006,190.335671
MNG,2007,234.407906
MNG,2008,277.909476
MNG,2009,352.874332
MNG,2010,324.573161
MNG,2011,287.712913
MNG,2012,180.842663
MNG,2013,232.537821
MNG,2014,209.652261
MNG,2015,505.600401
MNG,2016,434.883636
MNG,2017,492.115334
MNG,2018,625.906102
MNG,2019,678.425728
MNG,2020,722.185906
MNG,2021,715.903968
