col1,col2,col3,col4,col5
Andhra Pradesh,59.9,49.5,64.6,32.8
Arunachal Pradesh,71.0,38.6,39.1,25.8
Assam,62.4,51.1,35.8,24.2
Bihar,69.5,59.0,41.6,31.2
Chhattisgarh,54.4,36.7,17.5,10.4
Delhi,68.5,55.3,61.4,35.1
Goa,91.5,74.6,59.8,55.4
Gujarat,57.3,51.1,38.8,21.6
Haryana,71.7,48.2,52.5,34.9
Himachal Pradesh,95.7,71.0,48.9,44.4
Jharkhand,57.7,46.5,30.4,17.4
Karnataka,77.2,55.1,50.1,31.4
Kerala,90.5,75.6,63.5,51.9
Madhya Pradesh,60.1,38.1,35.5,20.0
Maharashtra,79.7,61.3,57.7,40.9
Manipur,65.9,57.3,40.3,32.0
Meghalaya,41.0,41.8,12.7,2.9
Mizoram,86.8,39.4,26.5,21.6
Nagaland,90.2,52.7,25.2,20.9
Odisha,54.9,42.7,37.8,20.5
Punjab,70.9,51.0,36.4,27.9
Rajasthan,63.0,45.5,45.4,28.6
Sikkim,76.0,65.6,58.9,43.3
Tamil Nadu,72.7,67.2,59.6,43.8
Telangana,80.2,64.4,71.4,51.7
Tripura,64.8,40.4,14.5,8.9
Uttar Pradesh,49.8,38.9,27.2,17.2
Uttarakhand,66.7,49.3,47.1,29.8
West Bengal,57.0,39.6,24.5,15.6
A & N Islands,79.7,34.3,37.5,19.6
Chandigarh,74.7,65.2,84.2,58.9
Dadra & Nagar Haveli,84.2,36.9,44.8,24.6
Jammu & Kashmir,75.0,55.1,34.4,22.8
Ladakh,84.2,75.5,48.6,33.1
Lakshadweep,84.0,87.5,73.5,66.8
Puducherry,97.8,89.2,59.0,56.1
all-India,63.4,49.1,40.2,26.4
