col1,col2,col3,col4,col5,col6,col7,col8,col9,col10
Andhra Pradesh,77.4,72.1,75.0,91.9,84.5,88.1,81.7,76.4,79.2
Arunachal Pradesh,58.4,58.2,58.3,67.7,66.6,67.1,60.0,59.7,59.9
Assam,79.9,71.2,75.5,90.3,88.1,89.2,80.9,72.9,76.9
Bihar,75.7,56.6,66.8,82.5,68.7,76.4,76.5,57.8,67.9
Chhattisgarh,77.3,63.8,70.7,87.0,86.8,86.9,78.8,67.5,73.3
Delhi,92.4,80.9,87.4,92.2,92.7,92.4,92.2,92.3,92.3
Goa,98.6,97.4,98.0,98.1,98.1,98.1,98.3,97.8,98.1
Gujarat,86.5,73.9,80.5,90.2,80.5,85.7,87.9,76.4,82.5
Haryana,95.0,88.0,92.0,84.1,81.9,83.1,90.7,85.6,88.5
Himachal Pradesh,92.9,88.9,91.0,92.4,91.7,92.1,92.8,89.2,91.1
Jharkhand,81.6,70.0,75.9,89.7,83.2,86.5,83.2,72.7,78.0
Karnataka,92.4,83.9,88.5,95.0,89.1,92.1,93.3,85.8,89.8
Kerala,97.0,97.3,97.2,98.0,97.6,97.8,97.5,97.4,97.5
Madhya Pradesh,81.6,67.5,74.8,90.9,83.4,87.4,83.9,71.0,77.7
Maharashtra,90.6,80.7,86.0,92.2,90.7,91.6,91.3,84.9,88.4
Manipur,93.6,92.0,92.8,96.9,92.8,94.9,94.5,92.3,93.4
Meghalaya,84.8,80.2,82.4,91.6,88.3,89.9,86.0,81.6,83.7
Mizoram,94.8,94.0,94.4,90.5,91.5,91.0,92.7,92.9,92.8
Nagaland,88.0,87.6,87.8,98.4,98.9,98.6,92.1,92.0,92.0
Odisha,76.2,65.4,70.8,87.3,80.1,83.5,77.9,67.7,72.8
Punjab,86.7,84.3,85.7,89.5,85.9,87.9,87.8,84.9,86.6
Rajasthan,84.0,64.9,74.8,87.7,78.4,83.4,85.1,68.4,77.1
Sikkim,93.2,93.5,93.3,93.8,96.0,94.8,93.3,94.0,93.7
Tamil Nadu,86.9,79.3,83.2,93.8,90.4,92.2,90.0,84.3,87.3
Telangana,92.3,83.3,87.8,93.8,89.4,91.6,93.0,85.9,89.5
Tripura,70.8,63.7,67.2,81.5,74.3,77.8,72.9,65.8,69.3
Uttar Pradesh,73.7,56.9,65.6,82.1,70.5,76.7,75.3,59.4,67.7
Uttarakhand,84.5,74.1,79.6,94.0,84.4,89.8,86.9,76.5,82.1
West Bengal,75.8,68.4,72.1,89.7,86.8,88.2,79.3,73.0,76.2
A & N Islands,84.3,83.0,83.7,92.7,86.8,89.6,87.3,84.6,86.0
Chandigarh,96.8,91.2,94.3,100.0,90.5,95.3,99.7,90.5,95.2
Dadra & Nagar Haveli,96.0,79.1,88.4,97.8,91.2,95.6,97.0,84.6,92.2
Jammu & Kashmir,87.7,77.3,82.8,92.5,90.5,91.6,88.5,79.4,84.3
Ladakh,93.7,81.3,87.5,95.1,95.3,95.2,93.9,83.4,88.7
Lakshadweep,82.8,79.8,81.6,100.0,97.4,98.6,95.3,94.5,94.9
Puducherry,91.4,89.7,90.6,96.3,94.1,95.3,94.6,92.4,93.6
all-India,81.0,68.4,74.9,89.9,84.2,87.3,83.6,72.7,78.4
