col1,col2,col3,col4,col5,col6,col7,col8,col9,col10
Andhra Pradesh,78.3,67.6,73.2,90.3,82.0,86.1,81.9,72.4,77.3
Arunachal Pradesh,62.8,60.8,61.8,72.1,69.0,70.6,64.4,62.1,63.3
Assam,80.4,70.0,75.1,91.1,84.7,87.8,81.5,71.5,76.3
Bihar,74.6,53.8,64.7,82.6,67.4,75.5,75.4,55.3,65.9
Chhattisgarh,75.9,59.0,67.4,88.5,85.3,86.9,78.1,63.5,70.8
Delhi,92.1,78.8,86.5,93.6,93.3,93.5,93.6,92.8,93.3
Goa,98.8,95.5,97.2,99.0,93.1,96.8,99.0,94.1,97.0
Gujarat,86.8,72.1,79.8,91.2,80.3,86.1,88.6,75.3,82.3
Haryana,93.8,86.0,90.3,86.1,81.3,84.0,90.8,84.1,87.8
Himachal Pradesh,92.9,89.3,91.1,92.3,91.5,92.0,92.8,89.5,91.2
Jharkhand,81.6,67.3,74.5,90.1,82.4,86.3,83.4,70.4,77.0
Karnataka,92.3,80.4,86.6,94.9,88.4,91.7,93.2,83.5,88.5
Kerala,97.4,96.6,97.0,98.3,97.7,98.0,97.8,97.1,97.4
Madhya Pradesh,80.3,64.1,72.5,90.3,82.0,86.3,82.7,68.4,75.8
Maharashtra,90.5,76.8,84.1,93.7,90.6,92.3,91.9,82.9,87.7
Manipur,93.9,89.9,91.9,96.1,92.8,94.4,94.6,90.8,92.7
Meghalaya,84.5,79.6,82.0,92.8,89.9,91.3,85.8,81.4,83.6
Mizoram,95.2,94.3,94.8,92.9,93.2,93.1,94.1,93.8,94.0
Nagaland,90.3,86.0,88.1,98.8,96.2,97.5,93.4,89.6,91.5
Odisha,76.2,62.2,69.2,88.8,80.0,84.1,78.0,65.1,71.5
Punjab,86.9,81.7,84.6,87.9,82.4,85.4,87.3,82.0,84.9
Rajasthan,84.1,62.6,73.7,89.0,77.8,83.7,85.5,66.7,76.5
Sikkim,93.3,93.0,93.1,95.5,96.4,95.9,93.8,93.8,93.8
Tamil Nadu,88.0,77.5,82.9,94.1,90.4,92.4,90.8,83.3,87.2
Telangana,92.1,80.6,86.3,94.5,87.7,91.2,93.2,83.8,88.6
Tripura,71.8,60.9,66.1,83.0,72.9,77.7,73.9,63.2,68.3
Uttar Pradesh,73.6,55.8,64.9,83.4,71.0,77.6,75.6,58.7,67.4
Uttarakhand,84.6,72.2,78.8,92.3,81.4,87.3,86.6,74.4,80.9
West Bengal,75.3,63.3,69.2,89.2,83.5,86.3,78.8,68.4,73.5
A & N Islands,84.7,79.3,82.3,91.4,89.7,90.5,87.6,84.3,86.1
Chandigarh,95.8,87.5,92.0,100.0,86.6,92.8,99.6,86.6,92.8
Dadra & Nagar Haveli,95.7,76.2,86.9,95.8,87.2,92.7,95.7,81.6,90.1
Jammu & Kashmir,87.8,73.8,81.0,91.9,88.2,90.2,88.5,76.0,82.6
Ladakh,92.8,78.5,85.5,96.1,96.1,96.1,93.2,81.0,87.0
Lakshadweep,85.9,85.8,85.8,98.9,94.7,96.8,96.0,92.8,94.4
Puducherry,93.3,90.4,91.8,97.3,94.3,95.9,95.9,92.7,94.3
all-India,81.0,66.1,73.7,90.7,83.6,87.3,83.8,71.1,77.7
