col1,col2,col3,col4,col5
Andhra Pradesh,56.9,41.7,42.4,26.7
Arunachal Pradesh,72.4,37.7,43.1,25.1
Assam,57.4,46.6,23.5,17.9
Bihar,63.8,47.1,19.8,16.1
Chhattisgarh,51.6,34.5,11.7,7.0
Delhi,84.0,73.5,57.0,50.2
Goa,93.7,85.5,52.3,48.3
Gujarat,50.8,39.2,18.3,13.2
Haryana,67.7,38.2,32.2,23.5
Himachal Pradesh,93.8,61.9,34.6,31.7
Jharkhand,55.0,36.2,16.1,11.0
Karnataka,75.7,59.2,44.0,32.8
Kerala,92.0,73.5,54.4,46.4
Madhya Pradesh,52.6,30.4,18.6,13.8
Maharashtra,75.4,58.5,42.1,34.6
Manipur,63.9,59.2,32.3,25.4
Meghalaya,44.4,40.8,11.7,6.0
Mizoram,87.6,49.1,39.1,34.2
Nagaland,90.5,63.7,36.8,32.2
Odisha,53.2,36.5,20.9,15.8
Punjab,68.1,45.3,24.7,21.3
Rajasthan,56.1,32.0,18.9,16.1
Sikkim,80.9,70.8,58.4,45.4
Tamil Nadu,75.6,68.6,49.1,38.5
Telangana,75.0,56.7,50.5,36.2
Tripura,63.8,33.4,9.1,4.9
Uttar Pradesh,41.4,28.8,13.0,8.3
Uttarakhand,55.9,34.7,27.6,19.1
West Bengal,58.8,38.0,16.8,13.8
A & N Islands,83.6,36.5,35.0,21.3
Chandigarh,79.2,69.9,64.6,57.9
Dadra & Nagar Haveli,80.3,40.8,40.4,33.4
Jammu & Kashmir,77.3,50.4,23.1,18.1
Ladakh,90.4,82.3,44.7,35.7
Lakshadweep,88.6,93.6,56.3,53.3
Puducherry,93.1,85.8,53.5,51.1
all-India,60.8,43.9,27.0,20.7
